Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,15,5,11.0,25
3,19,5,10.0,27
6,16,9,12.0,28
9,15,5,10.1,28
12,20,14,10.7,31
15,27,20,15.3,32
18,27,9,18.6,34
21,23,11,12.8,35
24,33,5,13.9,36
27,25,22,12.2,36
30,28,14,17.6,39
33,27,7,13.8,38
36,27,18,13.4,38
39,32,18,19.3,37
42,35,15,18.8,39
45,28,7,9.7,38
48,39,26,23.7,39
51,28,13,18.3,39
54,35,20,25.7,40
57,33,11,16.9,40
60,28,15,15.9,40
63,30,14,20.0,40
66,30,20,17.5,40
69,40,17,21.7,41
72,45,9,20.3,43
75,54,21,24.6,45
78,53,30,31.5,47
81,52,29,25.4,47
84,57,27,33.4,49
87,59,16,27.5,51
90,57,22,30.3,51
93,66,20,32.4,53
96,66,29,37.9,54
99,58,22,30.8,53
102,58,31,36.6,54
105,50,37,26.5,53
108,62,28,34.0,55
111,60,29,32.3,54
114,60,22,31.7,54
117,64,34,38.9,55
120,63,22,33.8,55
123,62,25,29.5,54
126,60,31,33.9,53
129,58,26,29.7,52
132,57,27,29.3,51
135,39,23,24.3,50
138,54,29,28.0,50
141,49,29,26.3,49
144,43,24,23.8,48
147,46,28,28.1,50
150,47,29,27.8,50
153,40,28,22.5,49
156,54,18,26.9,48
159,46,19,21.2,48
162,45,21,22.1,48
165,47,25,24.0,47
168,47,8,22.2,47
171,42,12,26.0,48
174,47,13,21.8,48
177,48,15,23.6,48
180,48,5,17.4,46
183,47,25,27.2,46
186,42,22,18.9,46
189,36,28,19.0,45
192,40,30,26.0,45
195,49,21,20.6,45
198,46,33,26.9,46
201,50,17,27.6,46
204,47,13,27.3,46
207,57,22,27.3,47
210,54,27,27.6,48
213,61,24,36.3,49
216,70,19,34.9,52
219,74,44,39.4,54
222,80,42,41.8,55
225,68,30,33.6,56
228,68,34,35.6,56
231,68,27,38.2,56
234,70,32,39.5,57
237,77,40,38.9,58
240,70,32,37.8,57
243,82,43,43.6,58
246,76,49,45.0,60
249,79,39,42.2,60
252,78,21,39.8,62
255,77,24,38.6,62
258,82,28,36.5,62
261,77,40,42.0,62
264,80,36,39.3,64
267,77,32,42.3,65
270,81,48,43.4,65
273,82,39,42.4,65
276,75,29,38.9,65
279,61,29,34.1,65
282,60,30,32.0,63
285,51,23,31.2,62
288,49,19,29.6,61
291,29,20,20.9,60
294,24,5,11.1,59
297,33,11,13.1,57
300,44,11,24.8,56
303,41,12,19.6,55
306,33,17,18.0,54
309,28,15,16.9,53
312,38,20,16.7,51
315,36,6,21.4,50
318,37,21,22.6,50
321,32,16,18.2,49
324,33,14,19.6,48
327,47,6,23.6,48
330,32,18,17.9,47
333,34,17,17.6,46
336,41,20,20.2,45
339,46,30,26.8,46
342,60,34,34.0,48
345,61,26,34.8,51
348,71,35,38.8,53
351,75,31,37.2,55
354,85,30,39.7,56
357,81,34,42.3,58
360,75,40,40.9,59
363,76,40,41.2,60
366,88,26,40.5,62
369,81,54,47.0,62
372,78,28,42.8,63
375,82,36,41.3,63
378,91,36,47.0,64
381,76,47,45.0,64
384,76,31,39.9,64
387,77,33,38.2,65
390,73,40,44.1,65
393,74,19,37.7,65
396,72,49,40.6,63
399,77,31,42.2,64
402,81,42,47.0,64
405,82,34,41.8,64
408,77,52,45.7,64
411,90,40,47.0,64
414,77,42,39.4,64
417,86,45,45.4,65
420,80,37,41.2,64
423,87,34,44.9,65
426,82,42,43.9,64
429,69,42,39.4,65
432,61,25,29.9,63
435,69,38,36.3,63
438,69,27,36.7,62
441,50,26,27.6,61
444,36,17,21.4,60
447,33,11,17.9,58
