Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
0,25.0,26.0,27.0
3,25.6,26.4,27.2
6,26.3,27.0,27.7
9,27.0,27.7,28.4
12,27.8,28.5,29.2
15,28.4,29.1,29.8
18,29.1,29.8,30.5
21,29.9,30.6,31.3
24,30.6,31.3,32.0
27,31.2,31.9,32.6
30,32.0,32.7,33.4
33,32.7,33.5,34.3
36,31.7,32.5,33.3
39,32.7,33.5,34.3
42,33.4,34.2,35.0
45,34.0,34.8,35.6
48,34.8,35.6,36.4
51,35.5,36.3,37.1
54,36.3,37.1,37.9
57,37.0,37.8,38.6
60,37.6,38.5,39.4
63,38.3,39.2,40.1
66,39.1,40.0,40.9
69,39.8,40.7,41.6
72,40.6,41.5,42.4
75,39.6,40.5,41.4
78,40.6,41.5,42.4
81,41.4,42.3,43.2
84,42.1,43.0,43.9
87,42.9,43.8,44.7
90,43.5,44.4,45.3
93,44.2,45.1,46.0
96,45.0,45.9,46.8
99,45.7,46.6,47.5
102,46.5,47.4,48.3
105,47.1,48.0,48.9
108,47.9,48.8,49.7
111,48.6,49.5,50.4
114,49.4,50.3,51.2
117,50.1,51.0,51.9
120,49.1,50.0,50.9
123,50.1,51.0,51.9
126,50.9,51.8,52.7
129,51.6,52.5,53.4
132,52.3,53.2,54.1
135,53.0,53.9,54.8
138,53.8,54.7,55.6
141,54.5,55.4,56.3
144,55.3,56.2,57.1
147,56.0,56.9,57.8
150,56.8,57.7,58.6
153,57.4,58.3,59.2
156,58.2,59.1,60.0
159,59.0,59.9,60.8
162,59.7,60.6,61.5
165,60.5,61.4,62.3
168,61.2,62.1,63.0
171,62.0,62.9,63.8
174,61.0,62.0,63.0
177,62.0,63.0,64.0
180,62.8,63.7,64.6
183,63.5,64.4,65.3
186,64.2,65.2,66.2
189,65.0,66.0,67.0
192,64.0,65.0,66.0
195,65.0,66.5,68.0
