Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
0,0.32,0.32,25.4
3,0.44,0.48,25.1
6,0.56,0.61,26.0
9,0.55,0.65,26.9
12,0.61,0.8,25.8
15,0.64,0.77,26.0
18,0.62,0.74,27.7
21,0.64,0.76,27.3
24,0.64,0.74,26.5
27,0.61,0.7,27.6
30,0.63,0.8,27.0
33,0.63,0.81,27.3
36,0.64,0.89,28.1
39,0.67,0.94,26.6
42,0.68,0.93,27.0
45,0.71,0.91,28.2
48,0.74,0.91,28.0
51,0.71,0.81,29.3
54,0.7,0.81,28.6
57,0.68,0.78,28.4
60,0.64,0.71,31.0
63,0.66,0.82,29.9
66,0.7,0.82,30.3
69,0.75,0.8,29.4
72,0.77,0.86,30.3
75,0.82,0.99,31.1
78,0.82,0.92,30.3
81,0.89,1.08,31.8
84,0.9,1.14,31.2
87,0.91,1.05,31.7
90,0.85,0.96,31.7
93,0.88,0.92,33.9
96,0.83,0.88,32.7
99,0.84,0.89,32.1
102,0.87,0.92,33.8
105,0.89,0.93,32.4
108,0.86,0.96,33.8
111,0.84,0.85,32.3
114,0.84,0.81,33.1
117,0.86,0.89,34.5
120,0.89,0.95,35.2
123,0.9,0.92,35.0
126,0.94,0.96,35.0
129,0.96,1.04,35.1
132,0.92,0.92,34.4
135,0.94,0.85,35.2
138,0.99,0.89,35.7
141,0.96,0.88,37.1
144,1.01,0.96,36.8
147,1.09,1.22,35.3
150,1.15,1.41,39.3
153,1.22,1.53,38.9
156,1.27,1.61,38.9
159,1.26,1.51,40.2
162,1.26,1.43,40.8
165,1.26,1.36,40.9
168,1.26,1.38,39.8
171,1.42,1.52,40.4
174,1.5,1.72,41.2
177,1.58,1.94,41.9
180,1.64,2.04,43.0
183,1.68,2.12,43.5
186,1.62,2.16,43.0
189,1.66,2.14,43.2
192,1.61,1.99,45.0
195,1.61,2.0,45.7
198,1.6,1.97,44.8
201,1.62,1.88,45.9
204,1.66,1.97,45.6
207,1.66,1.98,45.0
210,1.69,2.13,46.1
213,1.68,2.18,47.3
216,1.66,2.36,46.3
219,1.65,2.28,47.8
222,1.71,2.38,44.7
225,1.66,2.24,47.7
228,1.69,2.36,47.3
231,1.75,2.22,47.2
234,1.65,2.09,47.8
237,1.63,1.94,46.4
240,1.64,1.81,46.0
243,1.61,1.56,46.7
246,1.62,1.57,47.9
249,1.67,1.69,46.5
252,1.63,1.69,46.5
255,1.63,1.94,47.0
258,1.65,2.04,48.4
261,1.63,2.04,48.1
264,1.57,1.9,47.7
267,1.59,1.91,48.8
270,1.6,1.74,46.7
273,1.66,1.85,47.6
276,1.61,1.9,48.5
279,1.71,2.06,49.1
282,1.8,2.05,49.2
285,1.84,2.3,50.6
288,1.88,2.32,52.3
291,1.96,2.49,52.5
294,1.95,2.39,52.5
297,1.96,2.53,52.6
300,1.96,2.55,51.9
303,1.96,2.54,52.9
306,1.94,2.36,53.2
309,1.98,2.59,53.1
312,1.98,2.61,53.8
315,1.98,2.52,54.5
318,1.98,2.53,55.9
321,2.0,2.71,54.8
324,2.0,2.69,55.1
327,2.0,2.63,55.1
330,1.95,2.45,53.9
333,1.95,2.49,55.6
336,1.95,2.45,55.9
339,1.95,2.38,58.1
342,1.95,2.52,56.2
345,2.0,2.71,56.8
348,2.0,2.71,56.8
351,2.0,2.74,56.1
354,2.0,2.88,58.2
357,2.0,2.88,58.2
360,2.0,2.98,58.4
363,2.0,2.98,59.3
366,2.0,3.0,59.4
369,2.0,3.0,57.4
372,2.0,2.83,59.2
375,2.0,2.74,58.8
378,2.0,2.7,56.4
381,2.0,2.48,57.0
384,2.0,2.3,57.8
387,2.0,2.28,57.6
390,2.0,2.28,57.0
393,2.0,2.23,58.5
396,2.0,2.46,57.8
399,2.0,2.51,59.3
402,2.0,2.71,58.4
405,2.0,2.64,60.6
408,2.0,2.55,59.0
411,2.0,2.44,59.6
414,2.0,2.51,60.8
417,2.0,2.44,59.4
420,2.0,2.37,60.8
423,2.0,2.47,61.9
426,2.0,2.43,59.8
429,2.0,2.45,61.5
432,2.0,2.47,61.8
435,2.0,2.56,62.0
438,2.0,2.54,61.1
441,2.0,2.55,61.2
444,1.6,1.98,62.0
447,1.2,1.43,62.0
