Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,32,14,18.5,25.0
3,38,19,21.2,26.4
6,47,24,24.8,28.1
9,59,29,29.5,30.2
12,71,36,34.2,32.8
15,80,41,37.8,35.6
18,86,44,40.1,38.4
21,83,40,38.7,40.9
24,74,34,35.1,43.0
27,62,27,30.4,44.6
30,51,21,25.8,45.8
33,43,17,22.1,46.5
36,48,22,24.3,47.0
39,56,27,27.9,47.6
42,65,32,31.6,48.4
45,75,38,35.4,49.5
48,83,43,39.0,50.9
51,79,39,37.2,52.1
54,69,32,32.8,53.0
57,58,25,28.1,53.6
60,49,20,24.5,53.9
63,52,24,26.1,54.1
66,60,29,29.7,54.5
69,69,34,33.4,55.1
72,77,39,36.8,56.0
75,84,43,39.6,57.1
78,81,40,38.1,58.1
81,72,33,34.1,58.8
84,61,27,29.5,59.2
87,52,22,25.7,59.3
90,46,18,23.1,59.1
93,41,15,20.8,58.7
96,48,21,24.2,58.4
99,57,27,28.1,58.3
102,67,33,32.3,58.5
105,76,38,36.1,59.0
108,84,43,39.7,59.8
111,80,39,37.6,60.7
114,70,32,33.2,61.3
117,59,26,28.6,61.6
120,50,21,24.9,61.6
123,44,17,22.2,61.3
126,40,14,20.1,60.8
129,47,20,23.6,60.4
132,56,26,27.5,60.2
135,66,32,31.7,60.3
138,75,37,35.4,60.7
141,83,42,39.2,61.4
144,79,38,37.1,62.1
147,69,32,32.8,62.5
150,59,26,28.4,62.6
153,51,21,25.1,62.4
156,45,18,22.6,62.0
159,41,15,20.6,61.4
162,49,21,24.4,61.1
165,58,27,28.3,61.0
168,68,33,32.5,61.2
171,77,38,36.3,61.7
174,84,43,39.7,62.5
177,80,39,37.6,63.2
180,71,33,33.5,63.6
183,61,27,29.1,63.7
186,52,22,25.5,63.5
189,46,18,23.0,63.1
192,42,15,21.1,62.5
195,50,21,24.8,62.2
198,59,27,28.6,62.1
201,69,33,32.8,62.3
204,78,38,36.7,62.8
207,85,43,40.1,63.6
210,81,39,38.1,64.2
213,72,33,33.9,64.5
216,62,27,29.6,64.6
219,53,22,26.0,64.4
222,46,18,23.2,64.0
225,42,15,21.2,63.4
228,49,20,24.5,63.1
231,58,26,28.3,63.0
234,68,32,32.5,63.2
237,77,38,36.4,63.7
240,84,43,39.8,64.4
243,80,39,37.7,64.9
246,71,33,33.5,65.0
249,61,27,29.2,65.0
252,52,22,25.6,64.8
255,46,18,23.1,64.4
258,42,15,21.2,63.9
261,50,21,24.8,63.6
264,59,27,28.6,63.6
267,69,33,32.8,63.9
270,78,38,36.7,64.4
273,85,43,40.1,64.9
276,80,39,37.6,65.0
279,71,33,33.5,65.0
282,61,27,29.2,65.0
285,53,22,25.8,64.8
288,46,18,23.2,64.5
291,42,15,21.2,64.1
294,49,20,24.5,63.9
297,58,26,28.3,63.9
300,68,32,32.5,64.1
303,77,38,36.4,64.5
306,84,43,39.8,65.0
309,79,38,37.2,65.0
312,70,32,33.1,65.0
315,60,27,28.9,65.0
318,52,22,25.4,64.8
321,46,18,23.0,64.5
324,42,15,21.2,64.1
327,49,20,24.5,63.9
330,58,26,28.3,63.9
333,68,32,32.5,64.1
336,77,38,36.4,64.5
339,84,43,39.8,65.0
342,79,38,37.2,65.0
345,70,32,33.1,65.0
348,60,27,28.9,65.0
351,52,22,25.4,64.8
354,46,18,23.0,64.5
357,42,15,21.2,64.1
360,49,20,24.5,63.9
363,58,26,28.3,63.9
366,68,32,32.5,64.1
369,77,38,36.4,64.5
372,84,43,39.8,65.0
375,79,38,37.2,65.0
378,70,32,33.1,65.0
381,60,27,28.9,65.0
384,52,22,25.4,64.8
387,46,18,23.0,64.5
390,42,15,21.2,64.1
393,49,20,24.5,63.9
396,58,26,28.3,63.9
399,68,32,32.5,64.1
402,77,38,36.4,64.5
405,84,43,39.8,65.0
408,79,38,37.2,65.0
411,70,32,33.1,65.0
414,60,27,28.9,65.0
417,52,22,25.4,64.8
420,46,18,23.0,64.5
423,42,15,21.2,64.1
426,49,20,24.5,63.9
429,58,26,28.3,63.9
432,68,32,32.5,64.1
435,77,38,36.4,64.5
438,84,43,39.8,65.0
441,79,38,37.2,65.0
444,70,32,33.1,65.0
447,60,27,28.9,65.0
