Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
0,0.65,0.54,25.4
3,0.5,0.3,25.6
6,0.5,0.3,26.0
9,0.51,0.3,26.5
12,0.53,0.3,26.7
15,0.5,0.3,27.0
18,0.71,0.62,27.5
21,0.62,0.31,27.9
24,0.51,0.3,28.1
27,0.68,0.43,28.5
30,0.56,0.3,28.7
33,0.72,0.61,29.0
36,0.77,0.66,29.3
39,0.61,0.44,29.3
42,0.76,0.69,29.4
45,0.73,0.52,29.6
48,0.77,0.65,29.8
51,1.03,0.94,30.2
54,0.72,0.54,30.3
57,0.68,0.44,30.4
60,0.85,0.73,30.9
63,1.02,1.05,31.3
66,0.8,0.53,31.3
69,0.84,0.88,31.4
72,0.99,0.82,31.7
75,1.05,0.88,31.9
78,0.84,0.8,31.9
81,0.98,0.95,32.2
84,0.85,0.75,32.4
87,1.1,1.11,32.6
90,0.94,0.82,32.7
93,0.85,0.61,33.2
96,0.85,0.7,33.4
99,1.13,1.05,33.6
102,0.95,0.92,33.8
105,1.02,0.92,33.9
108,1.17,1.09,34.2
111,1.13,1.07,34.2
114,0.92,0.82,34.1
117,0.88,0.67,34.4
120,0.98,0.79,34.6
123,1.1,1.06,34.9
126,1.06,1.01,35.0
129,0.95,0.78,35.2
132,1.07,0.95,35.2
135,1.09,1.05,35.3
138,1.0,0.76,35.5
141,1.1,0.9,35.8
144,1.11,0.98,36.0
147,1.01,0.9,36.0
150,1.15,1.14,36.3
153,1.33,1.53,36.5
156,1.22,1.3,36.5
159,1.24,1.22,36.8
162,1.22,1.23,37.3
165,1.12,0.97,37.4
168,1.24,1.24,37.6
171,1.26,1.23,37.7
174,1.27,1.31,38.0
177,1.71,1.84,38.4
180,1.31,1.38,38.5
183,1.36,1.56,38.7
186,1.36,1.39,38.7
189,1.34,1.41,38.8
192,1.28,1.36,39.1
195,1.39,1.41,39.5
198,1.28,1.32,39.8
201,1.65,1.87,40.4
204,1.35,1.4,40.4
207,1.4,1.39,40.6
210,1.6,1.74,40.9
213,1.29,1.36,41.3
216,1.51,1.76,41.5
219,1.36,1.5,42.0
222,1.45,1.74,41.9
225,1.59,1.66,42.3
228,1.53,1.73,42.6
231,1.6,1.79,42.9
234,1.5,1.82,43.1
237,1.62,1.68,43.1
240,1.52,1.54,43.4
243,1.92,2.18,44.0
246,1.63,1.57,44.2
249,1.59,1.67,44.4
252,2.0,2.46,44.9
255,1.87,2.16,45.0
258,1.68,1.92,45.4
261,1.73,2.11,45.6
264,1.68,1.95,45.8
267,1.82,2.0,46.2
270,2.0,2.29,46.7
273,1.79,2.06,46.9
276,1.86,1.97,47.1
279,1.9,2.35,47.4
282,1.9,2.31,47.8
285,1.83,2.02,47.8
288,1.84,1.91,48.1
291,1.85,2.22,48.5
294,2.0,2.29,48.8
297,1.97,2.38,49.0
300,1.85,1.92,49.2
303,2.0,2.24,49.4
306,2.0,2.3,49.7
309,2.0,2.3,49.9
312,1.89,2.1,50.1
315,1.99,2.35,50.5
318,2.0,2.19,51.0
321,2.0,2.29,51.3
324,2.0,2.31,51.6
327,2.0,2.35,51.9
330,2.0,2.37,51.9
333,2.0,2.67,52.4
336,1.9,2.01,52.5
339,2.0,2.67,53.2
342,2.0,2.33,53.3
345,2.0,2.23,53.6
348,2.0,2.7,53.9
351,2.0,2.31,53.9
354,2.0,2.42,54.3
357,2.0,2.31,54.7
360,2.0,2.51,55.0
363,2.0,2.96,55.4
366,2.0,2.52,55.6
369,2.0,2.88,55.8
372,2.0,2.36,55.9
375,2.0,2.68,56.5
378,2.0,2.68,56.7
381,2.0,2.37,56.6
384,2.0,2.41,56.8
387,2.0,2.36,57.1
390,2.0,2.18,57.0
393,2.0,2.34,57.4
396,2.0,2.27,57.3
399,2.0,2.61,57.7
402,2.0,2.45,57.7
405,2.0,2.31,58.1
408,2.0,2.46,58.2
411,2.0,2.4,58.4
414,2.0,2.13,58.6
417,2.0,2.29,58.7
420,2.0,2.34,58.9
423,2.0,2.54,59.4
426,2.0,2.09,59.2
429,2.0,2.53,59.6
432,2.0,2.17,59.7
435,2.0,2.37,60.0
438,2.0,2.34,60.0
441,2.0,2.21,60.1
444,2.0,2.49,60.5
447,2.0,2.19,60.6
