Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,27,12,11.5,25
3,26,9,10.1,25
6,22,11,11.0,25
9,27,12,13.1,26
12,31,17,13.8,27
15,29,11,17.7,27
18,28,15,13.1,26
21,33,9,20.9,26
24,39,15,21.8,27
27,46,19,17.7,28
30,54,32,22.4,29
33,38,12,14.8,28
36,51,29,27.4,29
39,56,20,31.9,30
42,54,20,22.9,30
45,59,13,27.5,30
48,59,23,28.6,31
51,61,27,26.1,31
54,71,39,37.8,32
57,67,26,32.5,31
60,64,22,30.7,30
63,73,15,32.4,30
66,65,31,41.3,30
69,74,27,32.5,31
72,74,35,34.4,31
75,76,26,37.9,32
78,85,32,45.0,33
81,73,38,34.7,33
84,83,21,42.9,34
87,80,27,42.4,34
90,75,36,38.8,34
93,76,43,37.1,33
96,83,44,45.0,35
99,81,27,43.0,36
102,76,42,39.7,36
105,84,20,42.6,36
108,74,36,39.0,35
111,85,39,43.6,36
114,81,25,43.0,35
117,78,34,44.4,34
120,81,25,40.0,34
123,79,16,41.6,34
126,84,49,40.5,35
129,78,21,41.5,35
132,76,34,38.3,35
135,80,38,37.3,36
138,81,45,42.8,36
141,84,44,45.0,37
144,78,27,41.5,36
147,92,29,40.2,37
150,80,43,37.5,37
153,81,36,45.0,38
156,70,36,35.5,38
159,83,30,43.9,38
162,78,33,42.0,39
165,91,33,45.0,39
168,74,15,36.1,39
171,76,20,31.7,38
174,78,27,39.3,39
177,92,43,45.0,40
180,84,21,45.0,40
183,83,23,44.4,39
186,77,16,33.6,39
189,88,30,43.8,39
192,83,18,40.8,38
195,88,38,38.6,38
198,82,35,41.5,38
201,74,22,39.1,38
204,80,19,38.6,38
207,79,31,45.0,39
210,91,52,44.3,40
213,89,52,45.0,40
216,82,44,36.9,40
219,79,32,40.8,39
222,78,44,40.6,38
225,85,34,45.0,38
228,76,23,32.6,38
231,83,41,43.2,38
234,84,33,42.1,37
237,71,15,37.1,37
240,78,25,37.2,38
243,77,45,37.8,38
246,73,34,36.1,37
249,77,27,37.6,36
252,78,34,33.6,36
255,78,45,44.0,35
258,74,27,37.5,35
261,88,31,42.0,37
264,77,16,38.6,36
267,82,35,41.4,37
270,84,32,37.9,37
273,72,18,40.0,38
276,86,36,43.2,39
279,81,20,44.9,39
282,76,27,34.0,39
285,79,32,41.5,39
288,87,47,43.3,40
291,82,33,40.9,40
294,73,17,33.1,40
297,79,37,37.9,40
300,78,21,36.3,40
303,80,32,39.2,40
306,77,42,38.9,40
309,77,21,36.8,39
312,72,28,40.3,39
315,75,30,34.6,40
318,72,22,36.6,39
321,80,23,37.6,40
324,88,46,45.0,40
327,80,35,38.7,40
330,77,35,32.6,40
333,73,18,38.2,39
336,77,21,35.9,39
339,80,29,37.6,40
342,81,42,37.6,40
345,80,35,42.5,40
348,76,25,38.9,38
351,81,26,37.9,38
354,81,34,40.2,38
357,85,26,40.8,39
360,84,37,41.3,39
363,77,44,43.1,39
366,83,43,43.4,39
369,82,37,40.3,39
372,77,38,44.5,39
375,84,32,36.4,40
378,76,22,38.3,40
381,85,23,45.0,40
384,86,37,45.0,41
387,84,33,38.9,40
390,81,29,45.0,40
393,75,27,45.0,40
396,86,50,44.0,40
399,77,24,40.6,40
402,75,18,35.9,41
405,78,21,37.8,41
408,79,25,40.6,40
411,76,39,40.0,40
414,81,44,40.4,41
417,82,17,42.7,40
420,83,22,38.6,41
423,80,47,35.7,42
426,72,30,34.2,42
429,72,37,34.6,41
432,85,37,41.5,42
435,75,31,35.8,42
438,81,19,38.1,43
441,87,52,43.9,44
444,69,19,42.3,44
447,71,30,37.9,44
