Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,26.6,7.4,15.2,25.0
3,27.0,15.0,14.3,26.5
6,22.4,5.0,9.4,27.5
9,28.2,16.4,15.1,28.9
12,28.3,20.7,19.5,30.3
15,23.1,14.8,12.4,31.1
18,37.2,22.4,23.5,32.8
21,30.9,9.9,24.7,34.2
24,22.2,5.0,14.7,34.8
27,31.9,31.6,20.9,35.9
30,43.3,30.5,31.9,37.8
33,51.8,18.4,26.3,39.5
36,53.8,44.7,27.3,41.3
39,42.4,26.4,21.7,42.3
42,49.9,26.5,21.6,43.5
45,46.7,31.4,27.5,44.7
48,48.0,40.6,31.8,46.0
51,53.6,47.8,42.8,47.8
54,42.2,16.1,24.3,48.3
57,38.5,33.1,24.7,48.8
60,14.0,11.5,12.5,47.8
63,14.2,15.3,8.0,46.8
66,17.9,5.0,10.3,46.1
69,18.9,11.8,14.5,45.6
72,18.1,16.2,8.0,44.9
75,21.0,5.0,15.3,44.6
78,16.0,5.0,9.8,43.9
81,23.5,5.0,10.1,43.6
84,14.4,5.8,10.5,43.0
87,29.1,19.7,27.1,43.6
90,53.1,34.2,33.2,45.2
93,47.2,21.0,27.5,46.3
96,46.1,39.3,28.7,47.3
99,53.0,20.8,25.7,48.3
102,50.2,17.3,30.2,49.4
105,53.9,32.7,29.0,50.4
108,52.8,20.9,29.3,51.3
111,48.5,23.9,25.9,51.9
114,43.6,5.0,22.8,52.1
117,40.4,20.3,24.6,52.3
120,46.4,11.7,27.9,52.8
123,53.0,40.1,31.8,53.6
126,49.7,24.8,27.5,54.1
129,22.2,5.0,8.0,52.9
132,28.1,5.9,12.3,52.1
135,28.6,8.8,16.6,51.6
138,21.9,11.5,15.7,50.8
141,27.9,17.1,13.1,50.2
144,27.7,5.0,17.2,49.8
147,20.3,15.8,18.5,49.2
150,28.0,5.0,15.5,48.8
153,28.7,11.7,23.4,48.8
156,30.8,17.1,15.0,48.6
159,61.1,12.1,25.6,49.8
162,49.8,12.2,18.4,50.3
165,52.8,27.1,36.5,51.5
168,59.4,42.4,39.9,52.9
171,59.1,26.8,33.1,54.0
174,59.4,31.5,35.7,55.1
177,76.8,53.9,43.5,57.0
180,60.0,40.8,47.0,58.3
183,62.7,36.0,37.7,59.3
186,60.9,32.4,35.9,60.0
189,58.5,25.6,35.6,60.6
192,54.3,28.9,33.6,60.9
195,60.7,27.2,35.0,61.5
198,18.0,6.3,8.0,59.5
201,21.5,5.0,12.8,58.0
204,20.5,5.0,18.0,56.7
207,22.9,22.3,21.2,55.8
210,34.3,23.6,27.7,55.6
213,14.6,5.1,8.0,53.9
216,27.4,13.4,11.7,53.0
219,17.1,8.4,9.3,51.7
222,20.7,31.8,17.5,51.0
225,29.2,25.3,23.8,50.8
228,24.2,13.4,8.0,49.9
231,18.2,5.0,15.6,49.1
234,20.1,5.0,9.7,48.3
237,25.5,13.1,13.0,47.8
240,58.2,18.1,26.7,49.0
243,63.3,29.6,29.2,50.4
246,63.6,19.6,36.8,52.0
249,59.7,32.3,35.2,53.3
252,73.0,35.8,36.6,55.0
255,65.1,51.8,37.1,56.2
258,52.5,16.6,26.4,56.6
261,63.8,53.7,48.0,58.1
264,59.2,30.9,33.3,58.8
267,67.1,39.9,34.2,59.7
270,59.0,31.6,33.5,60.3
273,63.2,37.3,36.6,61.0
276,65.7,36.9,28.0,61.5
279,37.2,17.4,20.9,60.7
282,26.6,7.7,13.0,59.3
285,29.8,6.1,17.7,58.2
288,29.3,21.5,26.0,57.6
291,28.6,31.0,25.1,56.9
294,40.7,10.5,19.9,56.5
297,33.7,26.8,17.4,55.8
300,24.3,5.0,22.5,55.1
303,34.8,10.5,18.5,54.6
306,40.6,22.8,24.0,54.5
309,34.5,15.7,19.3,54.1
312,21.6,10.8,13.2,53.0
315,27.1,8.2,13.7,52.3
318,72.3,31.9,38.2,54.1
321,62.6,23.1,31.8,55.1
324,68.6,31.4,38.6,56.6
327,70.2,23.7,35.3,57.8
330,60.1,27.5,31.1,58.5
333,64.4,27.4,36.3,59.4
336,48.6,37.5,30.2,59.5
339,61.6,35.0,42.5,60.5
342,65.3,38.6,28.5,61.1
345,60.6,37.2,40.9,61.8
348,75.0,18.4,43.3,63.1
351,58.7,41.1,28.4,63.2
354,64.6,31.8,35.6,63.8
357,68.1,29.4,36.5,64.4
360,50.2,27.3,23.8,63.9
363,35.1,7.7,14.6,62.6
366,49.2,20.5,22.8,62.2
369,42.4,25.4,32.4,61.9
372,37.9,22.7,26.5,61.3
375,46.8,14.7,29.8,61.1
378,44.7,35.2,31.8,61.0
381,40.3,12.7,16.8,60.2
384,43.7,13.4,20.9,59.7
387,41.0,5.0,21.7,59.2
390,42.3,13.8,17.6,58.6
393,45.1,28.5,30.3,58.6
396,48.9,27.1,27.8,58.7
399,65.1,20.4,32.9,59.5
402,81.2,51.7,48.0,61.4
405,62.0,23.5,35.6,62.0
408,70.4,55.0,44.0,63.2
411,73.9,38.0,47.4,64.5
414,73.0,50.6,41.2,65.0
417,67.5,44.4,43.9,65.0
420,69.7,12.7,36.9,65.0
423,69.4,22.0,35.5,65.0
426,67.6,26.4,38.3,65.0
429,74.9,46.8,40.4,65.0
432,72.7,48.4,48.0,65.0
435,68.0,42.8,40.6,65.0
438,75.0,53.1,44.9,65.0
441,71.0,35.8,45.1,65.0
444,73.9,54.3,44.0,65.0
447,73.3,51.7,40.3,65.0
