Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
0,25.0,26.0,27.0
3,25.4,26.2,27.0
6,26.0,26.8,27.6
9,26.8,27.5,28.2
12,27.5,28.2,28.9
15,28.1,28.9,29.7
18,28.9,29.7,30.5
21,29.6,30.3,31.0
24,30.3,31.1,31.9
27,31.0,31.8,32.6
30,31.8,32.6,33.4
33,32.5,33.3,34.1
36,33.2,34.0,34.8
39,34.0,34.8,35.6
42,35.0,35.8,36.6
45,34.0,35.0,36.0
48,35.0,36.0,37.0
51,35.7,36.7,37.7
54,36.5,37.5,38.5
57,37.2,38.2,39.2
60,37.8,38.8,39.8
63,38.6,39.6,40.6
66,39.3,40.3,41.3
69,40.1,41.1,42.1
72,40.9,41.9,42.9
75,41.6,42.5,43.4
78,42.2,43.2,44.2
81,43.0,44.0,45.0
84,44.0,45.0,46.0
87,43.0,44.0,45.0
90,44.0,45.0,46.0
93,44.8,45.8,46.8
96,45.6,46.6,47.6
99,46.3,47.3,48.3
102,47.1,48.1,49.1
105,47.8,48.8,49.8
108,48.4,49.4,50.4
111,49.2,50.2,51.2
114,49.9,50.9,51.9
117,50.7,51.7,52.7
120,51.5,52.5,53.5
123,52.1,53.1,54.1
126,52.9,53.9,54.9
129,53.6,54.6,55.6
132,54.4,55.4,56.4
135,55.2,56.2,57.2
138,56.0,57.0,58.0
141,55.0,56.0,57.0
144,56.0,57.0,58.0
147,56.8,57.8,58.8
150,57.5,58.5,59.5
153,58.3,59.3,60.3
156,59.1,60.1,61.1
159,59.9,60.9,61.9
162,60.5,61.5,62.5
165,61.3,62.3,63.3
168,62.0,63.0,64.0
171,62.8,63.8,64.8
174,63.5,64.5,65.5
177,64.2,65.2,66.2
180,65.0,66.0,67.0
183,64.0,65.0,66.0
186,65.0,66.5,68.0
189,64.0,65.5,67.0
192,65.0,66.5,68.0
195,65.0,66.0,67.0
198,65.0,66.5,68.0
