Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
3,25.6,26.3,27.0
6,26.2,26.9,27.6
9,26.9,27.7,28.5
12,27.7,28.4,29.1
15,28.4,29.2,30.0
18,29.2,29.9,30.6
21,29.9,30.7,31.5
24,30.6,31.4,32.2
27,31.4,32.1,32.8
30,32.1,32.9,33.7
33,32.9,33.7,34.5
36,33.6,34.4,35.2
39,34.3,35.1,35.9
42,35.1,35.9,36.7
45,35.9,36.7,37.5
48,36.6,37.4,38.2
51,37.4,38.2,39.0
54,38.1,38.9,39.7
57,39.0,39.8,40.6
60,38.0,39.0,40.0
63,39.0,40.0,41.0
66,39.8,40.8,41.8
69,40.5,41.5,42.5
72,41.3,42.3,43.3
75,42.0,43.0,44.0
78,42.8,43.8,44.8
81,43.5,44.5,45.5
84,44.3,45.3,46.3
87,45.0,46.0,47.0
90,45.8,46.8,47.8
93,46.6,47.6,48.6
96,45.6,46.6,47.6
99,46.6,47.6,48.6
102,47.3,48.3,49.3
105,48.1,49.1,50.1
108,48.8,49.8,50.8
111,49.6,50.6,51.6
114,50.4,51.4,52.4
117,51.1,52.1,53.1
120,51.9,52.9,53.9
123,52.6,53.6,54.6
126,53.4,54.4,55.4
129,54.2,55.2,56.2
132,55.0,56.0,57.0
135,55.7,56.7,57.7
138,56.5,57.5,58.5
141,57.2,58.2,59.2
144,58.0,59.0,60.0
147,58.8,59.8,60.8
150,59.6,60.6,61.6
153,60.3,61.3,62.3
156,61.1,62.1,63.1
159,61.8,62.8,63.8
162,62.6,63.6,64.6
165,63.4,64.4,65.4
168,62.4,63.4,64.4
171,63.4,64.4,65.4
174,64.1,65.1,66.1
177,64.8,65.8,66.8
180,65.0,66.0,67.0
183,64.0,65.0,66.0
186,65.0,66.5,68.0
189,64.0,65.5,67.0
192,65.0,66.5,68.0
195,65.0,66.0,67.0
198,65.0,66.5,68.0
