Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
0,0.5,0.56,25.6
3,0.68,0.39,26.5
6,0.52,0.32,27.2
9,0.58,0.52,27.9
12,0.74,0.76,29.2
15,0.6,0.3,28.1
18,0.68,0.6,29.3
21,0.8,0.78,30.1
24,0.59,0.39,30.8
27,0.76,0.87,31.6
30,0.83,0.93,32.8
33,0.91,0.94,32.1
36,0.73,0.82,33.7
39,0.74,0.77,34.2
42,0.96,1.05,33.9
45,0.91,1.11,35.2
48,0.92,0.96,35.8
51,0.96,1.05,36.4
54,0.9,1.1,37.0
57,0.99,1.26,37.6
60,1.02,1.24,38.3
63,0.91,1.06,38.4
66,1.19,1.69,39.3
69,1.1,1.3,39.9
72,0.99,1.24,40.5
75,1.62,2.11,44.9
78,1.46,1.82,46.2
81,1.62,2.28,46.5
84,1.78,2.35,47.2
87,1.64,2.25,47.6
90,1.69,2.42,42.7
93,1.71,2.29,44.2
96,1.77,2.48,44.5
99,1.42,1.75,45.0
102,1.2,1.6,44.3
105,1.25,1.63,46.5
108,1.19,1.56,45.3
111,1.18,1.59,44.8
114,1.3,1.65,46.6
117,1.29,1.97,45.3
120,1.34,1.68,46.7
123,1.33,1.64,45.2
126,1.29,1.86,46.0
129,1.46,2.13,47.6
132,1.35,1.91,48.3
135,2.0,3.0,52.4
138,2.0,2.62,52.9
141,1.79,2.47,53.0
144,1.8,2.44,52.0
147,1.96,2.63,52.9
150,1.92,2.76,49.1
153,2.0,2.86,50.6
156,1.95,2.81,49.9
159,1.39,1.87,48.9
162,1.4,1.98,50.9
165,1.29,1.66,51.0
168,1.48,1.95,49.9
171,1.58,2.28,52.0
174,1.55,2.23,52.6
177,1.4,2.02,52.5
180,1.52,2.07,51.7
183,1.56,2.24,52.5
186,1.49,1.91,53.3
189,1.6,2.12,54.1
192,1.56,2.13,53.2
195,1.49,2.05,53.7
198,1.64,2.22,52.5
201,1.61,2.48,53.5
204,1.73,2.61,55.4
207,1.75,2.53,56.1
210,1.53,2.14,55.3
213,1.6,2.17,56.4
216,1.66,2.56,55.4
219,1.74,2.49,55.3
222,1.73,2.56,56.8
225,2.0,3.0,61.4
228,2.0,3.0,60.4
231,2.0,3.0,62.0
234,2.0,3.0,59.0
237,2.0,3.0,62.0
240,2.0,3.0,65.0
243,2.0,3.0,64.0
246,2.0,3.0,65.0
249,1.94,2.89,63.8
252,1.96,2.93,64.9
255,1.95,2.83,64.4
258,2.0,3.0,65.0
261,1.84,2.77,64.7
264,1.95,2.92,64.1
267,1.86,2.86,64.7
270,1.98,3.0,65.0
273,2.0,2.83,64.4
276,2.0,2.92,65.0
279,1.98,2.81,65.0
282,1.94,3.0,65.0
285,2.0,3.0,64.2
288,2.0,3.0,65.0
291,2.0,2.92,64.2
294,2.0,3.0,65.0
297,1.95,3.0,65.0
300,1.95,2.92,65.0
303,2.0,3.0,65.0
306,2.0,3.0,65.0
309,2.0,2.92,64.5
312,1.97,3.0,63.8
315,2.0,2.93,64.7
318,1.98,2.84,64.0
321,1.97,3.0,64.5
324,2.0,2.76,65.0
327,1.95,2.92,65.0
330,1.88,2.93,64.4
333,1.93,2.81,63.8
336,1.95,2.53,63.7
339,1.85,2.9,62.5
342,2.0,2.99,61.7
345,1.94,2.88,61.7
348,1.74,2.34,60.8
351,1.95,2.82,59.9
354,1.93,2.88,60.3
357,1.88,2.79,59.6
360,1.65,2.32,58.9
363,1.71,2.56,58.4
366,1.79,2.51,58.9
369,1.67,2.38,57.6
372,1.73,2.53,56.9
375,2.0,3.0,60.9
378,2.0,3.0,59.8
381,1.95,2.92,60.4
384,1.92,2.44,59.2
387,2.0,3.0,59.2
390,2.0,3.0,53.7
393,2.0,2.7,53.0
396,2.0,2.92,52.2
399,1.35,2.01,51.1
402,1.51,2.24,50.6
405,1.43,1.99,51.2
408,1.56,2.46,50.2
411,1.31,1.97,49.6
414,1.45,2.16,48.9
417,1.44,2.09,49.0
420,1.87,2.62,52.8
423,2.0,2.96,52.8
426,1.94,2.54,52.1
429,1.85,2.59,51.5
432,1.88,2.69,50.9
435,1.84,2.26,45.9
438,1.86,2.36,45.3
441,1.93,2.23,44.1
444,1.3,1.72,43.9
447,1.11,1.48,43.9
