Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,17.5,11.0,8.0,25.0
3,16.3,14.4,8.5,25.0
6,20.3,5.0,12.4,25.5
9,25.7,12.7,12.4,26.3
12,18.0,13.8,10.4,26.3
15,20.0,5.0,13.1,26.5
18,29.1,27.7,16.8,27.4
21,26.1,17.1,9.9,28.0
24,20.9,5.0,15.0,28.0
27,27.0,19.8,12.6,28.5
30,23.0,7.4,13.1,28.7
33,23.1,19.1,18.4,28.9
36,28.6,25.7,18.4,29.4
39,18.9,10.5,18.9,29.1
42,21.9,26.4,19.9,28.9
45,27.7,21.6,16.9,29.4
48,24.5,24.5,21.6,29.7
51,34.2,34.7,16.7,30.6
54,29.1,18.2,19.8,30.9
57,26.6,11.8,18.0,31.0
60,43.0,14.3,20.0,32.5
63,35.6,15.5,22.6,33.0
66,36.1,21.0,16.0,33.7
69,31.7,26.0,29.7,33.8
72,37.1,26.1,17.9,34.3
75,41.4,31.1,17.6,35.1
78,36.1,25.2,27.7,35.3
81,44.8,37.4,26.8,36.2
84,41.0,24.3,26.7,36.7
87,41.5,45.8,28.8,37.3
90,41.0,31.0,24.2,37.7
93,53.4,19.6,20.7,38.9
96,43.3,17.4,24.1,39.2
99,37.2,29.4,20.7,38.9
102,45.8,23.2,26.8,39.3
105,34.7,30.2,21.9,38.8
108,41.0,27.8,18.7,38.9
111,29.4,22.9,20.3,38.0
114,29.7,15.2,22.2,37.4
117,38.5,10.4,18.4,37.5
120,38.4,19.4,15.4,37.7
123,35.7,25.4,21.2,37.6
126,32.4,21.7,20.7,37.3
129,34.7,9.5,17.3,36.9
132,25.9,21.4,16.4,36.0
135,29.9,24.6,17.3,35.5
138,27.4,10.9,13.1,35.1
141,36.1,19.7,11.3,35.4
144,31.7,18.5,13.6,35.2
147,20.4,8.4,15.2,34.1
150,30.0,19.9,16.8,34.0
153,25.6,21.0,21.0,33.5
156,21.3,26.7,16.6,32.9
159,28.9,23.9,13.6,32.9
162,31.2,5.0,15.2,32.9
165,30.7,8.5,10.2,33.0
168,22.5,20.1,14.6,32.4
171,26.8,21.1,14.4,32.2
174,31.7,22.1,17.8,32.5
177,36.5,49.8,14.1,33.2
180,30.9,24.6,20.4,33.3
183,34.1,30.1,25.4,33.6
186,33.1,28.6,19.2,33.6
189,31.4,30.2,23.2,33.8
192,44.1,21.5,24.8,34.9
195,48.4,31.1,21.3,36.1
198,43.0,19.8,24.7,36.8
201,50.0,25.1,24.8,37.9
204,47.5,26.1,25.6,38.7
207,43.1,28.7,23.0,39.2
210,51.8,48.5,27.6,40.1
213,59.4,16.1,30.4,41.5
216,53.2,37.5,35.1,42.1
219,62.8,20.1,34.1,43.5
222,43.6,30.2,39.8,43.1
225,62.4,43.7,29.0,44.3
228,61.4,38.5,37.0,45.1
231,61.2,29.4,35.2,45.9
234,64.8,31.3,44.1,46.8
237,55.1,44.4,32.5,46.8
240,63.9,33.2,32.4,47.6
243,66.8,42.1,31.3,48.4
246,70.3,38.1,26.1,49.4
249,59.3,31.9,31.9,49.4
252,55.8,52.7,29.9,49.2
255,58.3,42.0,34.0,49.1
258,63.4,19.1,33.7,49.4
261,59.4,36.1,39.3,49.4
264,54.1,28.7,35.0,49.0
267,58.3,40.2,28.3,49.0
270,55.1,26.5,26.5,48.7
273,58.5,31.3,31.5,48.7
276,49.1,35.6,23.6,48.0
279,51.9,34.9,36.2,47.4
282,48.6,20.7,32.5,46.8
285,42.2,27.0,25.3,45.8
288,49.9,25.3,19.8,45.5
291,46.7,25.2,31.0,45.2
294,47.4,39.0,23.6,44.8
297,44.2,30.4,29.9,44.2
300,37.2,16.5,18.0,43.2
303,41.2,33.3,21.4,42.6
306,41.5,41.3,22.8,42.1
309,37.2,33.0,22.9,41.3
312,38.4,13.9,18.8,40.9
315,39.2,16.6,25.5,40.7
318,47.5,33.0,16.7,41.0
321,37.9,16.6,19.8,40.5
324,35.3,27.2,19.8,40.0
327,35.6,24.2,19.8,39.4
330,25.4,13.6,22.1,38.1
333,37.0,21.8,15.9,37.9
336,38.5,6.0,16.9,38.0
339,53.6,16.6,27.8,39.3
342,42.5,24.0,25.2,39.4
345,47.0,17.3,22.0,39.9
348,48.5,40.6,31.9,40.3
351,43.9,18.4,27.8,40.4
354,57.6,27.6,33.2,41.6
357,58.7,35.4,31.4,42.6
360,58.0,47.2,39.6,43.7
363,53.6,23.4,39.0,44.1
366,67.3,45.5,32.1,45.5
369,55.4,37.5,38.2,45.8
372,67.4,30.8,38.0,47.0
375,77.5,43.6,42.1,48.8
378,63.7,42.8,33.9,49.3
381,68.0,37.7,41.7,50.0
384,73.4,44.3,44.3,51.1
387,71.5,38.9,32.7,51.9
390,67.2,45.9,36.5,52.2
393,73.5,49.2,32.1,52.9
396,66.0,55.0,38.1,53.0
399,71.8,31.8,41.1,53.4
402,63.0,55.0,43.2,53.1
405,73.5,23.9,36.5,53.8
408,60.0,37.2,41.7,53.2
411,59.5,44.0,28.1,52.7
414,64.3,38.4,26.3,52.6
417,52.3,30.1,31.9,51.5
420,57.7,32.3,32.7,51.1
423,61.3,28.9,30.0,51.0
426,44.9,27.0,20.8,49.6
429,52.0,37.4,27.7,48.9
432,52.5,31.4,22.3,48.3
435,53.3,23.9,27.2,47.8
438,39.3,34.5,26.5,46.4
441,36.1,25.7,18.8,45.0
444,44.5,31.6,21.0,44.4
447,41.5,29.0,17.8,43.7
