| Time (s) | Sensor 1 Temp (°C) | Mean Temp (°C) | Sensor 2 Temp (°C) |
| -------: | -----------------: | -------------: | -----------------: |
|        6 |               26.9 |           27.7 |               28.5 |
|        9 |               24.9 |           26.8 |               28.7 |
|       12 |               27.3 |           28.3 |               29.3 |
|       15 |               28.0 |           29.0 |               30.0 |
|       18 |               28.8 |           29.6 |               30.4 |
|       21 |               26.8 |           28.9 |               31.0 |
|       24 |               29.5 |           30.4 |               31.3 |
|       27 |               30.2 |           31.2 |               32.1 |
|       30 |               31.0 |           31.8 |               32.6 |
|       33 |               29.0 |           31.2 |               33.4 |
|       36 |               31.7 |           32.5 |               33.3 |
|       39 |               32.4 |           33.3 |               34.2 |
|       42 |               33.2 |           34.0 |               34.8 |
|       45 |               31.2 |           33.6 |               35.9 |
|       48 |               34.0 |           34.8 |               35.6 |
|       51 |               34.7 |           35.6 |               36.5 |
|       54 |               35.5 |           36.2 |               36.9 |
|       57 |               33.5 |           35.9 |               38.2 |
|       60 |               36.2 |           37.1 |               38.0 |
|       63 |               37.0 |           37.9 |               38.8 |
|       66 |               37.8 |           38.5 |               39.2 |
|       69 |               35.8 |           38.3 |               40.7 |
|       72 |               38.5 |           39.4 |               40.3 |
|       75 |               39.3 |           40.2 |               41.1 |
|       78 |               40.1 |           40.9 |               41.7 |
|       81 |               38.0 |           40.7 |               43.3 |
|       84 |               40.8 |           41.8 |               42.8 |
|       87 |               41.6 |           42.6 |               43.6 |
|       90 |               42.4 |           43.3 |               44.2 |
|       93 |               40.3 |           43.1 |               45.9 |
|       96 |               43.1 |           44.2 |               45.3 |
|       99 |               43.9 |           45.0 |               46.1 |
|      102 |               44.7 |           45.7 |               46.7 |
|      105 |               42.6 |           45.5 |               48.4 |
|      108 |               45.4 |           46.6 |               47.8 |
|      111 |               46.2 |           47.4 |               48.6 |
|      114 |               47.0 |           48.1 |               49.2 |
|      117 |               44.8 |           47.9 |               51.0 |
|      120 |               47.7 |           49.0 |               50.3 |
|      123 |               48.5 |           49.8 |               51.1 |
|      126 |               49.3 |           50.5 |               51.7 |
|      129 |               47.1 |           50.3 |               53.5 |
|      132 |               50.0 |           51.4 |               52.8 |
|      135 |               50.8 |           52.2 |               53.6 |
|      138 |               51.6 |           52.9 |               54.2 |
|      141 |               49.4 |           52.7 |               56.0 |
|      144 |               52.3 |           53.8 |               55.3 |
|      147 |               53.1 |           54.6 |               56.1 |
|      150 |               53.9 |           55.3 |               56.7 |
|      153 |               51.7 |           55.1 |               58.5 |
|      156 |               54.6 |           56.2 |               57.8 |
|      159 |               55.4 |           57.0 |               58.6 |
|      162 |               56.2 |           57.7 |               59.2 |
|      165 |               54.0 |           57.5 |               61.0 |
|      168 |               56.9 |           58.6 |               60.3 |
|      171 |               57.7 |           59.4 |               61.1 |
|      174 |               58.5 |           60.1 |               61.7 |
|      177 |               56.3 |           59.9 |               63.5 |
|      180 |               59.2 |           61.0 |               62.8 |
|      183 |               60.0 |           61.8 |               63.6 |
|      186 |               60.8 |           62.5 |               64.2 |
|      189 |               58.6 |           62.3 |               66.0 |
|      192 |               61.5 |           63.4 |               65.3 |
|      195 |               62.3 |           64.2 |               66.1 |
|      198 |               63.1 |           64.9 |               66.7 |
|      201 |               61.0 |           64.8 |               68.5 |
