Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
0,0.6,0.58,25.0
3,0.5,0.3,25.6
6,0.62,0.52,26.3
9,0.61,0.38,27.0
12,0.6,0.52,27.7
15,0.5,0.3,28.1
18,0.75,0.79,28.6
21,0.68,0.61,29.0
24,0.54,0.3,29.8
27,0.68,0.74,30.4
30,0.76,0.74,31.1
33,0.79,1.0,31.5
36,0.76,0.92,32.3
39,0.83,0.81,33.0
42,0.99,1.1,33.5
45,0.96,1.01,34.0
48,0.78,0.65,34.4
51,0.83,0.85,35.0
54,0.89,1.15,35.6
57,0.78,0.61,36.1
60,0.83,0.98,36.7
63,0.83,0.98,37.3
66,0.89,1.05,37.8
69,1.11,1.47,38.3
72,0.95,1.0,38.8
75,0.96,1.2,39.4
78,1.14,1.4,40.1
81,1.05,1.05,40.6
84,1.14,1.47,41.2
87,1.08,1.26,41.9
90,1.01,1.35,42.3
93,1.21,1.55,42.9
96,1.07,1.33,43.4
99,1.17,1.54,43.8
102,1.18,1.49,44.6
105,1.28,1.7,45.4
108,1.25,1.73,46.1
111,1.3,1.64,46.6
114,1.2,1.5,47.1
117,1.51,2.03,47.7
120,1.28,1.85,48.3
123,1.49,2.01,48.8
126,1.43,1.95,49.4
129,1.44,1.94,49.8
132,1.49,2.05,50.5
135,1.33,1.72,51.0
138,1.58,2.29,51.7
141,1.48,1.97,52.2
144,1.64,2.22,52.8
147,1.56,2.15,53.5
150,1.56,2.13,53.9
153,1.52,2.0,54.7
156,1.58,2.22,55.4
159,1.71,2.31,56.2
162,1.6,2.45,57.0
165,1.57,2.08,57.6
168,1.69,2.38,58.4
171,1.84,2.68,58.8
174,1.93,3.0,59.3
177,1.75,2.38,59.7
180,1.57,2.23,59.2
183,1.65,2.47,58.8
186,1.68,2.4,58.7
189,1.7,2.34,58.3
192,1.81,2.65,57.9
195,1.76,2.72,57.9
198,1.77,2.52,57.8
201,1.6,2.42,57.8
204,1.63,2.36,57.5
207,1.56,2.34,57.1
210,1.54,2.2,56.8
213,1.57,2.18,56.6
216,1.57,2.39,56.6
219,1.54,2.2,56.6
222,1.54,2.19,56.5
225,1.66,2.47,56.1
228,1.73,2.61,55.9
231,1.63,2.41,56.0
234,1.53,2.03,55.8
237,1.59,2.21,55.6
240,1.8,2.57,55.4
243,1.55,2.11,55.2
246,1.6,2.2,54.8
249,1.63,2.28,54.4
252,1.53,2.2,54.4
255,1.57,2.28,54.2
258,1.54,2.18,54.1
261,1.58,2.2,54.0
264,1.4,2.04,53.6
267,1.49,2.07,53.4
270,1.5,2.2,53.2
273,1.5,2.05,53.2
276,1.54,2.21,52.7
279,1.47,2.19,52.5
282,1.34,1.55,52.3
285,1.47,1.99,52.2
288,1.35,1.89,52.0
291,1.35,1.96,51.7
294,1.35,1.86,51.1
297,1.37,1.88,51.0
300,1.4,2.08,52.0
303,1.61,2.43,52.0
306,1.43,1.88,52.0
309,1.64,2.37,52.0
312,1.43,2.01,52.0
315,1.62,2.49,52.0
318,1.55,2.28,53.0
321,1.45,1.99,53.7
324,1.46,2.06,52.7
327,1.63,2.14,52.0
330,1.56,2.3,52.0
333,1.54,2.23,52.6
336,1.34,1.94,52.0
339,1.66,2.37,52.7
342,1.67,2.42,52.0
345,1.68,2.38,52.7
348,1.5,1.98,52.7
351,1.6,2.23,53.4
354,1.64,2.17,54.0
357,1.45,2.1,53.3
360,1.63,2.11,54.4
363,1.66,2.59,53.4
366,1.61,2.13,52.9
369,1.5,2.25,53.7
372,1.52,2.04,53.7
375,1.65,2.43,53.7
378,1.61,2.23,53.1
381,1.38,2.06,53.1
384,1.33,1.79,52.0
387,1.54,2.29,52.8
390,1.54,2.18,53.8
393,1.61,2.33,54.9
396,1.6,2.34,54.9
399,1.75,2.51,56.0
402,1.68,2.3,56.0
405,1.7,2.32,56.0
408,1.57,2.23,56.0
411,1.39,1.85,55.5
414,1.74,2.33,55.5
417,1.83,2.74,55.5
420,1.6,2.16,54.8
423,1.63,2.22,54.3
426,1.64,2.34,54.3
429,1.78,2.52,55.3
432,1.69,2.45,54.5
435,1.68,2.63,55.2
438,1.67,2.38,55.9
441,1.67,2.31,55.9
444,1.52,2.16,55.1
447,1.64,2.27,55.9
