Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
12,27.5,28.2,28.9
15,28.3,29.0,29.7
18,29.0,29.8,30.6
21,29.8,30.5,31.2
24,30.5,31.2,31.9
27,31.1,31.9,32.7
30,31.9,32.7,33.5
33,32.6,33.4,34.2
36,33.4,34.2,35.0
39,34.1,34.9,35.7
42,34.9,35.7,36.5
45,35.6,36.4,37.2
48,36.4,37.2,38.0
51,37.1,37.9,38.7
54,38.0,38.8,39.6
57,37.0,38.0,39.0
60,38.0,39.0,40.0
63,38.7,39.7,40.7
66,39.5,40.5,41.5
69,40.3,41.3,42.3
72,41.0,42.0,43.0
75,41.8,42.8,43.8
78,42.5,43.5,44.5
81,43.3,44.3,45.3
84,44.0,45.0,46.0
87,44.8,45.8,46.8
90,45.6,46.6,47.6
93,46.3,47.3,48.3
96,45.3,46.3,47.3
99,46.3,47.3,48.3
102,47.0,48.0,49.0
105,47.8,48.8,49.8
108,48.6,49.6,50.6
111,49.3,50.3,51.3
114,50.0,51.0,52.0
117,50.8,51.8,52.8
120,51.6,52.6,53.6
123,52.3,53.3,54.3
126,53.1,54.1,55.1
129,53.9,54.9,55.9
132,54.6,55.6,56.6
135,55.4,56.4,57.4
138,56.1,57.1,58.1
141,56.9,57.9,58.9
144,57.7,58.7,59.7
147,58.4,59.4,60.4
150,59.2,60.2,61.2
153,60.0,61.0,62.0
156,60.7,61.7,62.7
159,61.5,62.5,63.5
162,62.2,63.2,64.2
165,63.0,64.0,65.0
168,62.0,63.0,64.0
171,63.0,64.0,65.0
174,63.8,64.8,65.8
177,64.5,65.5,66.5
180,65.0,66.0,67.0
183,64.0,65.0,66.0
186,65.0,66.5,68.0
189,64.0,65.5,67.0
192,65.0,66.5,68.0
195,65.0,66.0,67.0
198,65.0,66.5,68.0
