Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
27,0.67,0.63,29.7
30,0.54,0.37,30.2
33,0.71,0.79,30.7
36,0.74,0.66,31.2
39,0.95,1.22,31.7
42,0.76,0.73,32.2
45,0.82,0.97,32.8
48,0.81,0.82,33.3
51,0.74,0.65,33.8
54,0.94,1.32,34.3
57,0.93,1.2,34.8
60,0.95,0.9,35.3
63,0.83,0.85,35.9
66,1.04,1.41,36.4
69,0.83,0.76,36.9
72,1.01,1.31,37.4
75,1.16,1.57,37.9
78,0.93,0.98,38.4
81,0.98,1.16,39.0
84,1.05,1.04,39.5
87,1.02,1.45,40.0
90,0.97,1.12,40.9
93,1.13,1.53,41.7
96,1.08,1.42,42.7
99,1.25,1.81,44.0
102,1.16,1.44,44.7
105,1.39,1.93,45.4
108,1.25,1.72,46.7
111,1.33,1.89,47.7
114,1.44,2.13,48.4
117,1.31,1.71,49.3
120,1.46,1.94,50.0
123,1.57,2.38,50.7
126,1.37,1.62,51.5
129,1.52,2.32,51.8
132,1.54,2.13,52.0
135,2.0,3.0,52.7
138,1.46,1.94,53.2
141,1.48,2.07,54.1
144,2.0,3.0,54.6
147,1.65,2.46,55.0
150,1.69,2.5,56.2
153,1.73,2.52,56.9
156,1.67,2.24,57.8
159,1.76,2.47,58.1
162,2.0,2.96,58.8
165,1.74,2.59,59.6
168,1.89,3.07,60.1
171,2.0,3.0,61.0
174,1.78,2.66,61.6
177,1.95,2.92,62.3
180,1.82,3.05,62.7
183,2.0,3.0,64.0
186,2.0,2.95,64.6
189,1.93,2.94,64.8
192,1.89,2.95,65.0
195,1.99,2.92,65.0
198,2.0,3.01,65.0
201,2.03,2.78,65.0
204,2.04,2.75,65.0
207,1.98,2.96,65.0
210,1.9,2.73,65.0
213,1.9,2.78,65.0
216,2.02,2.91,65.0
219,1.97,2.8,65.0
222,1.94,2.99,65.0
225,2.12,2.87,65.0
228,1.98,2.99,65.0
231,1.97,2.97,65.0
234,1.87,2.95,65.0
237,2.04,3.06,65.0
240,1.95,3.09,65.0
243,1.93,2.92,65.0
246,1.96,2.78,65.0
249,1.95,3.16,65.0
252,1.99,2.86,65.0
255,2.08,2.79,65.0
258,1.88,3.01,65.0
261,1.95,2.99,65.0
264,1.89,2.95,65.0
267,1.87,2.94,65.0
270,1.96,2.63,65.0
273,1.95,2.9,65.0
276,1.97,2.94,65.0
279,1.86,2.86,65.0
282,1.98,2.97,65.0
285,2.01,2.97,65.0
288,1.97,3.04,65.0
291,2.05,3.08,65.0
294,2.03,2.79,65.0
297,1.96,2.84,65.0
300,2.0,2.81,65.0
303,2.12,3.08,65.0
306,2.05,2.98,65.0
309,1.98,3.1,65.0
312,1.97,2.65,65.0
315,1.91,2.65,65.0
318,1.97,3.08,65.0
321,2.07,2.93,65.0
324,1.93,2.87,65.0
327,1.9,3.0,65.0
330,2.05,2.98,65.0
333,2.0,3.07,65.0
336,2.01,3.07,65.0
339,1.98,3.01,65.0
342,1.96,2.76,65.0
345,1.98,2.99,65.0
348,1.91,3.01,65.0
351,1.98,3.05,65.0
354,1.94,2.81,65.0
357,1.96,2.93,65.0
360,1.97,2.83,65.0
363,1.73,3.0,65.0
366,2.03,3.08,65.0
369,1.89,2.76,65.0
372,1.96,2.92,65.0
375,2.01,2.77,65.0
378,2.01,2.85,65.0
381,1.88,2.93,65.0
384,1.92,3.12,65.0
387,2.03,3.03,65.0
390,1.94,2.84,64.7
393,1.98,3.0,64.1
396,2.08,2.99,64.3
399,1.75,2.36,59.8
402,1.9,2.83,57.9
405,1.75,2.59,56.9
408,1.56,2.34,57.5
411,1.65,2.19,55.2
414,1.48,2.04,52.4
417,1.6,2.27,52.5
420,1.39,1.77,50.4
423,1.44,2.05,50.2
426,1.34,1.9,46.3
429,1.33,1.76,45.4
432,1.11,1.64,43.8
435,1.06,1.27,40.7
438,1.09,1.32,41.9
441,1.02,1.18,40.3
444,1.15,1.37,38.5
447,0.97,1.08,36.6
