Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
0,0.64,0.47,25.0
3,0.61,0.75,26.0
6,0.59,0.55,27.4
9,0.61,0.5,28.6
12,0.73,0.77,29.8
15,0.62,0.49,30.7
18,0.79,0.76,31.6
21,0.7,0.69,32.4
24,0.88,1.09,33.7
27,0.86,0.89,34.9
30,0.89,0.92,36.1
33,0.88,0.94,36.9
36,0.97,1.26,38.3
39,1.09,1.54,39.6
42,1.17,1.54,40.5
45,1.16,1.56,41.5
48,1.26,1.59,42.4
51,1.39,2.01,43.3
54,1.2,1.63,44.5
57,1.25,1.57,45.5
60,1.19,1.33,46.5
63,1.44,1.85,47.7
66,1.49,2.0,48.5
69,1.35,1.97,49.5
72,1.51,2.3,50.5
75,1.81,2.49,52.2
78,1.78,2.43,53.5
81,1.87,2.69,54.4
84,1.86,2.63,55.5
87,1.78,2.61,56.7
90,2.0,2.85,56.9
93,2.0,3.0,58.1
96,2.0,2.99,59.0
99,1.73,2.61,59.8
102,1.8,2.6,61.2
105,1.8,2.56,62.5
108,1.93,3.18,63.8
111,2.05,3.02,64.8
114,2.07,2.82,65.7
117,2.11,3.15,66.9
120,1.85,2.89,64.7
123,2.0,2.72,65.0
126,1.88,2.96,64.8
129,1.88,2.97,65.0
132,2.07,3.02,64.9
135,2.02,2.94,65.1
138,2.04,2.82,64.6
141,2.15,3.01,65.3
144,2.03,3.0,65.5
147,2.0,3.02,65.4
150,1.87,2.84,65.1
153,1.97,2.98,65.3
156,1.88,2.75,64.7
159,1.98,2.85,64.5
162,2.0,3.1,65.2
165,2.0,3.0,65.0
168,2.0,3.0,65.0
171,2.0,3.0,65.0
174,2.0,3.0,65.0
177,2.0,3.0,65.0
180,2.0,3.0,65.2
183,2.0,3.0,65.3
186,2.0,3.0,65.3
189,1.93,3.1,65.2
192,2.08,3.14,64.9
195,1.97,3.07,64.8
198,1.97,2.99,64.5
201,2.17,3.0,65.3
204,2.0,2.97,64.9
207,1.9,2.91,64.9
210,1.94,2.7,65.4
213,2.04,2.85,64.7
216,2.0,3.02,65.3
219,2.05,2.93,65.1
222,1.96,2.91,64.7
225,2.0,2.96,65.0
228,2.05,3.07,65.3
231,2.04,3.16,65.2
234,1.92,2.92,65.4
237,1.98,3.04,65.1
240,1.98,2.95,65.5
243,2.04,3.0,64.7
246,2.05,3.11,64.9
249,1.95,3.14,65.0
252,2.02,3.11,64.6
255,2.01,2.99,65.3
258,2.01,3.07,65.3
261,2.03,2.91,65.0
264,1.95,2.72,64.8
267,1.92,2.6,64.6
270,2.0,3.06,63.9
273,1.83,2.59,63.5
276,1.93,2.76,63.1
279,1.99,2.8,62.7
282,1.81,2.64,62.3
285,2.0,3.0,62.6
288,2.0,3.0,61.9
291,2.0,3.0,61.3
294,1.92,2.93,60.6
297,1.94,2.86,59.9
300,2.0,3.0,58.4
303,1.94,2.83,57.6
306,1.95,2.93,57.1
309,1.57,2.1,56.4
312,1.84,2.75,55.6
315,1.78,2.59,55.2
318,1.73,2.54,54.8
321,1.67,2.44,54.4
324,1.58,1.96,53.9
327,1.59,2.16,53.2
330,1.61,2.29,52.4
333,1.47,2.03,52.1
336,1.46,2.06,51.6
339,1.34,1.86,51.1
342,1.4,2.1,50.7
345,1.58,2.28,50.3
348,1.4,1.89,49.8
351,1.38,1.69,49.1
354,1.41,1.77,48.6
357,1.23,1.69,48.0
360,1.41,2.07,47.4
363,1.42,2.15,46.9
366,1.32,1.68,46.1
369,1.39,1.87,45.3
372,1.14,1.48,44.9
375,1.37,2.12,44.4
378,1.15,1.48,43.9
381,1.09,1.55,43.5
384,1.16,1.51,43.1
387,1.31,1.89,42.5
390,1.26,1.85,42.8
393,1.16,1.55,42.5
396,1.11,1.28,42.0
399,1.19,1.53,41.3
402,1.0,1.43,40.9
405,1.05,1.43,39.7
408,1.28,1.68,39.1
411,1.22,1.6,38.3
414,0.97,0.95,37.9
417,0.92,1.24,37.3
420,0.94,1.2,36.6
423,1.11,1.38,36.2
426,0.93,1.09,35.5
429,0.95,0.85,35.0
432,0.84,0.85,34.4
435,0.83,1.06,33.8
438,0.86,1.07,33.2
441,0.81,0.89,32.9
444,0.62,0.51,32.2
447,0.85,1.03,31.7
