Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
0,25.0,26.0,27.0
3,25.3,26.1,26.9
6,26.0,26.7,27.4
9,26.7,27.4,28.1
12,27.3,28.0,28.7
15,28.0,28.7,29.4
18,28.6,29.4,30.2
21,29.4,30.1,30.8
24,30.0,30.8,31.6
27,30.8,31.6,32.4
30,31.5,32.3,33.1
33,32.3,33.1,33.9
36,33.0,33.8,34.6
39,33.8,34.6,35.4
42,34.5,35.3,36.1
45,35.1,35.9,36.7
48,36.0,36.8,37.6
51,35.0,36.0,37.0
54,36.0,37.0,38.0
57,36.8,37.8,38.8
60,37.5,38.5,39.5
63,38.1,39.1,40.1
66,38.9,39.9,40.9
69,39.7,40.7,41.7
72,40.4,41.4,42.4
75,41.0,42.0,43.0
78,41.8,42.8,43.8
81,42.5,43.5,44.5
84,43.2,44.2,45.2
87,44.0,45.0,46.0
90,45.0,46.0,47.0
93,44.0,45.0,46.0
96,45.0,46.0,47.0
99,45.8,46.8,47.8
102,46.6,47.6,48.6
105,47.3,48.3,49.3
108,48.0,49.0,50.0
111,48.7,49.7,50.7
114,49.5,50.5,51.5
117,50.1,51.1,52.1
120,50.9,51.9,52.9
123,51.7,52.7,53.7
126,52.4,53.4,54.4
129,53.0,54.0,55.0
132,53.8,54.8,55.8
135,54.6,55.6,56.6
138,55.3,56.3,57.3
141,56.1,57.1,58.1
144,56.8,57.8,58.8
147,57.4,58.4,59.4
150,58.2,59.2,60.2
153,59.0,60.0,61.0
156,59.7,60.7,61.7
159,60.5,61.5,62.5
162,61.0,62.0,63.0
165,62.0,63.0,64.0
168,61.0,62.0,63.0
171,62.0,63.0,64.0
174,62.8,63.8,64.8
177,63.5,64.5,65.5
180,64.2,65.2,66.2
183,65.0,66.0,67.0
186,64.0,65.0,66.0
189,65.0,66.5,68.0
192,64.0,65.5,67.0
195,65.0,66.5,68.0
198,65.0,66.0,67.0
