Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,47,46,29.3,25.0
1,39,15,26.2,26.2
2,52,41,23.8,28.2
3,66,22,31.4,30.3
4,41,7,23.4,30.9
5,43,35,26.1,32.6
6,71,44,27.0,32.6
7,60,13,28.9,34.2
8,43,15,25.2,35.7
9,59,34,21.2,35.3
10,45,14,19.1,36.2
11,46,22,16.8,36.1
12,57,45,25.2,36.9
13,26,6,19.4,37.5
14,30,35,22.9,39.5
15,48,5,23.7,40.4
16,42,26,26.6,41.7
17,62,30,23.2,42.1
18,45,23,17.5,41.4
19,37,19,20.2,42.1
20,81,48,33.8,43.7
21,56,36,25.6,44.7
22,60,33,20.6,44.8
23,38,28,20.4,45.3
24,51,20,20.4,45.8
25,61,23,29.1,47.8
26,42,25,22.9,48.1
27,65,29,25.4,48.9
28,50,45,22.5,48.8
29,54,31,21.9,49.0
30,49,29,23.5,49.9
31,85,47,36.7,52.7
32,56,45,22.7,52.6
33,40,26,22.7,53.7
34,67,39,27.2,55.6
35,36,20,17.7,55.5
36,56,32,25.4,57.5
37,23,10,13.3,56.1
38,31,18,17.0,54.9
39,53,14,21.2,54.1
40,60,35,32.7,56.9
41,50,28,24.1,57.9
42,44,40,20.2,58.0
43,40,37,21.8,58.5
44,21,26,15.5,57.2
45,32,15,18.3,58.6
46,34,15,21.4,58.9
47,56,40,28.0,60.1
48,43,24,20.4,60.7
49,11,7,11.4,59.8
50,41,32,20.7,60.1
51,29,25,11.2,58.4
52,23,5,11.9,57.5
53,41,36,25.6,59.5
54,46,25,27.8,61.4
55,43,10,21.3,62.6
56,16,15,16.2,61.7
57,23,19,17.4,60.7
58,31,28,27.9,61.8
59,40,30,24.6,62.5
60,17,9,14.4,62.3
61,21,5,13.0,60.3
62,6,5,10.0,59.8
63,5,5,12.0,58.6
64,34,20,17.3,57.9
65,41,21,17.2,56.9
66,19,7,13.4,55.0
67,35,20,16.6,55.0
68,25,19,22.1,55.5
69,10,5,15.4,54.1
70,25,5,17.0,52.9
71,43,21,26.5,53.7
72,19,15,15.6,54.1
73,43,26,19.5,54.0
74,5,5,16.0,52.6
75,33,26,20.9,52.7
76,22,5,13.0,51.6
77,17,5,14.2,49.2
78,23,10,13.8,48.4
79,5,5,10.0,47.0
80,20,15,18.4,47.4
81,29,32,23.8,49.2
82,47,41,19.0,50.0
83,18,7,16.7,49.4
84,15,7,12.2,47.8
85,20,5,14.1,48.6
86,43,25,20.3,48.8
87,35,8,17.2,48.5
88,23,14,16.6,48.1
89,40,16,18.7,48.2
90,35,19,20.6,48.4
91,50,42,23.8,48.8
92,26,7,16.6,48.1
93,33,13,16.5,47.6
94,33,28,17.5,47.0
95,19,5,17.6,46.3
96,46,18,24.4,47.2
97,47,26,20.2,47.3
98,45,31,22.9,48.8
99,42,10,24.0,47.9
100,26,16,12.3,47.6
101,42,18,23.4,49.0
102,44,25,20.3,48.0
103,38,29,22.4,48.3
104,49,45,21.4,48.4
105,59,30,21.1,47.9
106,82,61,28.1,48.7
107,57,46,26.1,49.1
108,59,50,27.3,51.3
109,55,18,22.7,52.4
110,28,12,19.8,53.2
111,57,20,21.0,54.0
112,59,13,26.3,54.3
113,95,28,33.0,55.8
114,56,11,23.7,56.7
115,64,51,28.1,57.1
116,59,45,23.9,58.2
117,42,42,20.6,58.2
118,77,46,34.6,60.0
119,71,22,28.1,61.6
120,71,19,32.4,63.6
121,45,23,19.2,63.3
122,80,35,34.0,65.0
123,37,38,24.7,65.0
124,67,51,21.3,65.0
125,90,35,32.8,65.0
126,42,18,23.5,65.0
127,47,42,22.6,65.0
128,57,31,27.1,65.0
129,47,38,21.3,65.0
130,30,5,18.7,64.7
131,53,17,24.4,65.0
132,35,16,23.3,65.0
133,57,39,26.7,65.0
134,35,7,20.8,64.3
135,71,30,28.6,64.5
136,35,5,18.3,64.7
137,40,11,19.9,64.0
138,56,41,26.9,65.0
139,24,19,15.5,63.0
140,45,29,23.5,64.6
141,60,11,33.0,65.0
142,15,5,16.8,64.4
143,40,31,20.2,64.2
144,40,18,24.8,65.0
145,46,17,21.7,65.0
146,15,19,10.0,64.2
147,12,8,10.3,62.9
148,39,33,15.3,62.3
149,34,11,18.5,61.9
