Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
0,25.0,26.0,27.0
3,25.7,26.5,27.3
6,26.5,27.1,27.7
9,27.1,27.9,28.7
12,27.9,28.6,29.3
15,28.6,29.2,29.8
18,29.3,30.0,30.7
21,29.8,30.6,31.4
24,30.6,31.2,31.8
27,31.4,32.0,32.6
30,32.0,32.7,33.4
33,31.0,32.0,33.0
36,32.0,33.0,34.0
39,32.8,33.7,34.6
42,33.5,34.4,35.3
45,34.1,35.0,35.9
48,34.9,35.8,36.7
51,35.6,36.5,37.4
54,36.2,37.1,38.0
57,37.0,37.8,38.6
60,37.8,38.6,39.4
63,36.8,37.8,38.8
66,37.8,38.8,39.8
69,38.5,39.4,40.3
72,39.3,40.2,41.1
75,40.0,40.9,41.8
78,40.6,41.5,42.4
81,41.3,42.2,43.1
84,42.1,43.0,43.9
87,42.8,43.7,44.6
90,43.6,44.4,45.2
93,42.6,43.5,44.4
96,43.6,44.5,45.4
99,44.3,45.1,45.9
102,45.1,45.9,46.7
105,45.8,46.6,47.4
108,46.4,47.2,48.0
111,47.2,48.0,48.8
114,47.9,48.7,49.5
117,48.7,49.5,50.3
120,49.3,50.2,51.1
123,50.0,50.9,51.8
126,51.0,51.8,52.6
129,50.0,51.0,52.0
132,51.0,52.0,53.0
135,51.8,52.7,53.6
138,52.5,53.4,54.3
141,53.3,54.2,55.1
144,54.0,54.9,55.8
147,54.7,55.6,56.5
150,55.5,56.4,57.3
153,56.2,57.1,58.0
156,57.0,57.9,58.8
159,57.8,58.7,59.6
162,58.5,59.4,60.3
165,59.2,60.1,61.0
168,58.2,59.2,60.2
171,59.2,60.2,61.2
174,60.0,60.9,61.8
177,60.8,61.7,62.6
180,61.6,62.5,63.4
183,62.3,63.2,64.1
186,63.1,64.0,64.9
189,63.8,64.7,65.6
192,64.5,65.5,66.5
195,65.0,66.0,67.0
198,65.0,66.5,68.0
