Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
0,0.55,0.3,25.0
3,0.51,0.31,26.1
6,0.54,0.3,27.5
9,0.6,0.35,28.8
12,0.72,0.86,30.1
15,0.72,0.83,31.0
18,0.83,0.89,31.9
21,0.67,0.57,32.7
24,0.76,0.78,34.1
27,0.97,1.37,35.3
30,0.86,0.98,36.6
33,1.11,1.48,37.5
36,1.16,1.47,38.9
39,1.21,1.59,40.3
42,1.02,1.3,41.3
45,1.15,1.49,42.2
48,1.13,1.24,43.1
51,1.31,1.89,44.1
54,1.43,1.92,45.3
57,1.39,2.11,46.4
60,1.61,2.24,48.3
63,1.62,2.2,49.5
66,1.76,2.48,50.4
69,1.61,2.15,51.4
72,1.82,2.5,52.5
75,1.72,2.39,53.6
78,1.92,2.82,55.0
81,1.88,2.61,55.9
84,1.9,2.63,57.1
87,1.9,2.65,58.3
90,1.71,2.57,58.2
93,1.85,2.87,59.4
96,1.93,2.91,60.4
99,1.91,2.9,61.2
102,2.0,2.94,62.7
105,2.0,3.0,64.1
108,1.97,3.0,65.0
111,1.98,2.89,65.0
114,1.86,2.56,65.0
117,2.0,2.88,65.0
120,2.0,2.93,65.0
123,1.91,2.96,65.0
126,2.0,3.0,65.0
129,2.0,2.96,65.0
132,2.0,2.96,65.0
135,2.0,3.0,65.0
138,2.0,3.0,65.0
141,1.88,2.87,65.0
144,2.0,2.95,65.0
147,2.0,3.0,65.0
150,2.0,3.0,65.0
153,2.0,3.0,65.0
156,2.0,3.0,65.0
159,2.0,2.99,65.0
162,2.0,3.0,65.0
165,2.0,3.0,65.0
168,2.0,3.0,65.0
171,2.0,3.0,65.0
174,2.0,3.0,65.0
177,2.0,3.0,65.0
180,1.86,2.83,65.0
183,1.92,2.93,65.0
186,2.0,2.93,65.0
189,1.98,2.96,65.0
192,2.0,2.79,65.0
195,2.0,3.0,65.0
198,2.0,2.97,65.0
201,2.0,3.0,65.0
204,1.86,2.81,65.0
207,2.0,3.0,65.0
210,1.87,2.73,64.2
213,2.0,3.0,63.5
216,1.93,2.94,63.1
219,1.9,2.92,62.8
222,1.88,2.9,62.1
225,1.94,2.85,61.5
228,1.8,2.57,60.8
231,1.89,2.95,60.1
234,1.91,2.63,59.8
237,1.75,2.71,59.3
240,1.68,2.39,58.9
243,1.69,2.45,58.2
246,1.79,2.56,57.6
249,1.71,2.48,57.1
252,1.76,2.69,56.8
255,1.85,2.81,56.3
258,1.68,2.47,55.9
261,1.55,2.2,55.2
264,1.72,2.34,54.6
267,1.59,2.17,53.8
270,1.81,2.55,53.8
273,1.81,2.64,53.5
276,1.59,2.19,52.8
279,1.79,2.66,52.1
282,1.73,2.48,51.6
285,1.55,2.12,50.9
288,1.62,2.47,50.3
291,1.59,2.23,49.8
294,1.55,2.07,49.3
297,1.62,2.43,48.9
300,1.51,2.24,48.1
303,1.35,2.02,47.7
306,1.46,2.02,47.1
309,1.41,2.04,46.7
312,1.32,1.62,46.1
315,1.28,1.78,45.4
318,1.13,1.42,44.9
321,1.08,1.21,44.4
324,1.22,1.7,43.8
327,1.1,1.2,43.3
330,1.14,1.25,42.1
333,1.06,1.35,41.4
336,0.9,1.08,40.4
339,1.16,1.59,41.7
342,1.12,1.49,42.6
345,1.18,1.68,43.0
348,1.13,1.5,44.2
351,1.22,1.58,45.1
354,1.37,1.86,44.1
357,1.27,1.67,45.3
360,1.32,1.81,45.4
363,1.17,1.4,46.3
366,1.58,2.28,47.5
369,1.51,2.11,47.0
372,1.42,1.98,45.8
375,1.33,1.83,45.0
378,1.24,1.39,44.8
381,1.32,1.69,45.7
384,1.42,1.95,46.8
387,1.2,1.55,45.3
390,1.6,2.12,46.6
393,1.46,1.89,46.4
396,1.52,2.12,45.5
399,1.72,2.36,44.4
402,1.51,1.9,43.9
405,1.56,1.87,45.2
408,1.6,1.97,44.7
411,1.41,1.81,44.8
414,1.69,2.37,45.4
417,1.7,2.45,45.0
420,1.29,1.64,45.1
423,1.47,2.02,46.5
426,1.15,1.49,45.8
429,1.46,2.24,45.8
432,1.18,1.54,45.2
435,1.1,1.54,44.5
438,1.16,1.5,43.1
441,1.38,2.0,43.5
444,1.19,1.65,43.5
447,1.05,1.3,42.1
