Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,36.0,28.5,21.0,25.0
3,43.5,9.7,24.4,26.2
6,47.2,11.1,20.5,26.6
9,38.6,34.1,22.4,26.4
12,44.2,5.9,21.8,27.3
15,53.5,14.3,27.5,27.9
18,61.5,17.9,21.4,29.0
21,53.3,30.2,32.4,27.9
24,63.7,20.3,25.6,28.7
27,72.0,28.4,36.7,29.0
30,70.6,35.9,33.6,29.2
33,58.9,50.4,38.6,29.3
36,64.6,22.9,27.3,29.6
39,63.9,23.1,26.2,30.0
42,62.9,25.2,29.9,30.2
45,59.7,46.8,37.1,29.9
48,52.0,25.6,32.3,30.0
51,62.8,50.3,35.8,30.8
54,55.7,27.2,19.1,30.1
57,52.5,5.0,27.1,29.0
60,58.9,30.8,35.9,30.2
63,57.6,44.1,33.6,30.7
66,47.6,23.8,24.6,30.6
69,51.4,27.6,24.3,31.6
72,54.7,16.3,28.8,32.5
75,34.3,30.3,26.8,32.5
78,43.1,12.0,21.1,33.3
81,44.4,7.2,18.1,33.7
84,45.1,30.6,35.5,34.0
87,41.9,23.9,25.6,34.2
90,48.0,26.8,29.7,35.4
93,45.4,28.6,25.9,35.5
96,45.7,21.1,20.3,35.2
99,60.1,44.6,30.6,36.4
102,47.6,9.6,25.8,35.9
105,46.1,10.7,23.6,35.2
108,59.1,29.9,29.8,36.4
111,50.9,28.9,23.8,35.6
114,55.7,28.3,33.7,35.9
117,49.5,36.0,34.7,35.6
120,64.9,25.2,27.8,37.4
123,55.5,28.8,31.9,36.7
126,56.5,24.9,27.2,36.7
129,45.6,28.3,32.6,36.1
132,48.4,27.2,35.7,36.0
135,58.7,38.3,38.6,36.9
138,56.8,23.6,29.8,37.1
141,69.7,28.5,28.8,38.5
144,51.5,31.8,30.6,38.2
147,67.1,16.4,34.0,39.7
150,55.4,25.7,27.2,39.5
153,55.8,40.6,28.6,39.5
156,62.2,20.7,26.7,40.9
159,57.9,21.4,23.6,40.4
162,47.6,14.1,22.3,40.6
165,61.0,27.5,28.6,41.0
168,42.9,22.0,23.8,40.6
171,50.7,29.8,20.9,41.4
174,47.2,20.2,24.7,41.6
177,39.1,13.4,19.4,41.9
180,36.4,12.5,20.7,42.2
183,29.2,11.6,13.1,41.0
186,27.1,5.0,13.0,40.3
189,14.3,12.7,9.0,40.3
192,17.0,10.4,13.8,40.5
195,14.6,5.0,9.0,40.3
198,22.4,5.0,10.1,40.7
201,9.2,5.0,9.0,40.6
204,19.8,6.5,14.7,42.0
207,16.9,7.4,9.0,43.0
210,14.4,5.0,11.2,43.1
213,20.2,5.0,11.0,43.9
216,12.0,5.1,9.0,43.9
219,8.0,5.0,9.0,44.3
222,16.0,11.4,9.0,45.5
225,10.6,5.0,9.0,46.0
228,27.6,11.0,10.4,47.0
231,22.8,5.0,9.0,47.1
234,23.1,5.0,9.0,46.5
237,16.8,8.8,11.7,46.7
240,27.1,15.0,19.0,48.0
243,32.1,20.0,19.3,49.3
246,34.0,5.0,15.8,49.9
249,33.5,20.7,22.7,50.3
252,33.6,21.7,23.4,51.2
255,39.1,15.6,25.0,51.6
258,50.6,16.8,26.0,52.1
261,45.1,21.2,14.0,52.0
264,61.6,31.6,30.6,53.7
267,57.2,39.2,32.8,53.2
270,55.3,22.2,28.2,52.3
273,54.1,25.7,28.0,52.3
276,52.4,28.4,32.1,52.3
279,55.6,35.9,29.2,52.1
282,57.2,23.4,21.4,52.2
285,52.4,31.5,31.6,52.1
288,49.8,29.3,29.6,52.3
291,56.6,39.2,25.2,53.6
294,56.6,38.9,35.6,53.9
297,49.9,27.0,30.4,52.5
300,56.2,14.3,29.7,52.1
303,45.1,38.9,34.5,51.9
306,53.3,27.8,25.3,52.8
309,48.1,37.8,20.6,53.1
312,55.4,21.5,28.0,53.6
315,51.3,39.0,32.4,53.6
318,49.6,36.3,33.7,53.7
321,49.7,42.6,31.0,54.1
324,56.5,23.9,29.7,54.7
327,45.4,14.0,29.3,54.4
330,56.3,18.6,31.9,56.0
333,54.1,35.2,29.8,55.9
336,71.1,17.5,29.9,57.1
339,70.4,37.2,34.2,56.5
342,76.3,48.8,47.0,56.7
345,70.2,53.0,38.9,56.9
348,80.9,7.0,36.6,58.3
351,76.8,49.6,42.0,58.4
354,94.0,50.4,47.0,59.9
357,81.8,44.7,41.6,59.3
360,80.1,20.8,44.7,59.1
363,85.5,27.2,34.2,59.0
366,93.0,55.0,47.0,59.5
369,86.4,29.1,40.6,58.8
372,89.8,41.9,45.0,58.9
375,88.6,9.7,43.8,59.0
378,92.7,8.2,45.6,59.3
381,87.7,46.4,42.1,58.3
384,85.0,47.9,42.9,58.1
387,91.8,55.0,42.3,58.6
390,91.0,30.1,47.0,59.3
393,90.4,54.5,47.0,58.9
396,88.7,55.0,47.0,59.4
399,87.8,21.6,43.3,60.0
402,93.4,14.5,43.4,60.5
405,92.7,45.8,41.9,60.7
408,84.6,55.0,47.0,61.3
411,86.4,24.7,45.0,62.0
414,80.5,39.5,37.6,61.6
417,84.4,55.0,47.0,61.7
420,74.2,48.8,45.5,62.2
423,74.2,34.8,37.4,62.2
426,60.9,34.8,29.1,62.0
429,69.3,29.4,39.0,63.0
432,66.3,14.3,29.8,63.1
435,52.9,28.5,31.0,62.3
438,61.7,26.5,27.9,64.0
441,47.9,20.7,27.5,64.4
444,50.9,26.9,25.9,64.2
447,48.0,34.2,31.6,64.1
