Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0.0,48,22,28.2,25.0
1.2,48,23,28.2,26.3
2.4,60,15,33.2,27.9
3.6,71,31,37.8,30.2
4.8,61,27,33.6,31.9
6.0,65,17,35.3,33.4
7.2,83,55,42.0,35.5
8.4,78,36,40.8,37.5
9.6,70,13,37.4,38.6
10.8,79,39,41.2,40.2
12.0,71,16,37.8,41.2
13.2,70,37,37.4,42.0
14.4,73,43,38.7,43.3
15.6,54,11,30.7,43.9
16.8,52,32,29.8,44.3
18.0,57,27,31.9,44.9
19.2,49,29,28.6,44.9
20.4,55,44,31.1,45.3
21.6,40,13,24.8,44.8
22.8,31,5,21.0,44.3
24.0,49,8,28.6,44.3
25.2,31,5,21.0,43.8
26.4,29,10,20.2,43.4
27.6,13,9,13.5,42.1
28.8,17,10,15.1,41.9
30.0,19,17,16.0,40.9
31.2,7,5,10.9,39.5
32.4,18,16,15.6,39.2
33.6,10,5,12.2,38.6
34.8,13,11,13.5,38.2
36.0,11,9,12.6,37.6
37.2,33,5,21.9,37.7
38.4,21,5,16.8,37.1
39.6,16,12,14.7,36.6
40.8,35,11,22.7,36.6
42.0,24,18,18.1,36.8
43.2,40,21,24.8,37.1
44.4,28,10,19.8,36.7
45.6,38,5,24.0,36.9
46.8,55,5,31.1,37.8
48.0,64,20,34.9,38.7
49.2,64,35,34.9,39.4
50.4,65,28,35.3,40.4
51.6,67,11,36.1,41.4
52.8,60,26,33.2,41.8
54.0,68,31,36.6,42.5
55.2,71,17,37.8,43.5
56.4,83,35,42.0,44.2
57.6,76,31,39.9,44.7
58.8,58,9,32.4,44.8
60.0,72,33,38.2,45.4
61.2,63,31,34.5,45.9
62.4,57,35,31.9,46.5
63.6,63,37,34.5,47.0
64.8,62,8,34.0,47.2
66.0,56,11,31.5,47.2
67.2,37,20,23.5,46.3
68.4,36,20,23.1,45.8
69.6,37,20,23.5,45.2
70.8,37,33,23.5,44.9
72.0,21,15,16.8,43.7
73.2,20,18,16.4,43.0
74.4,10,9,12.2,42.3
75.6,7,6,10.9,41.1
76.8,22,5,17.2,40.7
78.0,25,19,18.5,40.4
79.2,14,5,13.9,39.5
80.4,24,6,18.1,39.2
81.6,21,5,16.8,38.7
82.8,15,6,14.3,38.1
84.0,27,24,19.3,37.7
85.2,40,5,24.8,38.0
86.4,32,21,21.4,38.1
87.6,50,5,29.0,39.1
88.8,21,5,16.8,38.9
90.0,54,34,30.7,40.2
91.2,53,21,30.3,40.5
92.4,54,8,30.7,41.2
93.6,62,16,34.0,41.9
94.8,49,27,28.6,42.8
96.0,67,18,36.1,43.3
97.2,74,32,39.1,43.9
98.4,85,34,42.0,45.0
99.6,70,20,37.4,45.0
100.8,68,52,36.6,45.4
102.0,70,35,37.4,45.8
103.2,80,7,41.6,46.7
104.4,73,31,38.7,47.4
105.6,63,17,34.5,48.2
106.8,68,37,36.6,48.8
108.0,60,14,33.2,48.7
109.2,63,23,34.5,48.5
110.4,45,24,26.9,48.2
111.6,43,27,26.1,47.3
112.8,37,5,23.5,47.3
114.0,23,5,17.7,46.6
115.2,33,7,21.9,45.8
116.4,28,5,19.8,44.5
117.6,23,20,17.7,44.1
118.8,18,12,15.6,43.1
120.0,6,5,10.5,42.2
121.2,12,10,13.0,40.7
122.4,12,10,13.0,39.7
123.6,8,7,11.4,38.8
124.8,14,5,13.9,38.1
126.0,20,5,16.4,37.6
127.2,35,29,22.7,37.9
128.4,24,5,18.1,37.3
129.6,29,16,20.2,37.2
130.8,30,21,20.6,37.2
132.0,20,5,16.4,37.0
133.2,41,15,25.2,37.6
134.4,46,5,27.3,37.7
135.6,70,15,37.4,38.5
136.8,54,18,30.7,39.5
138.0,63,10,34.5,40.5
139.2,64,45,34.9,41.1
140.4,58,6,32.4,42.1
141.6,80,26,41.6,43.3
142.8,79,33,41.2,44.7
144.0,80,49,41.6,45.7
145.2,67,9,36.1,46.8
146.4,85,47,42.0,48.3
147.6,62,24,34.0,48.4
148.8,76,18,39.9,49.2
150.0,86,39,42.0,50.2
