Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
12,27.6,28.3,29.0
15,28.2,28.9,29.6
18,28.9,29.7,30.5
21,29.7,30.4,31.1
24,30.4,31.1,31.8
27,31.1,31.9,32.7
30,31.9,32.7,33.5
33,32.6,33.4,34.2
36,33.3,34.1,34.9
39,34.0,34.8,35.6
42,34.8,35.6,36.4
45,35.5,36.3,37.1
48,36.2,37.0,37.8
51,37.0,37.8,38.6
54,36.0,37.0,38.0
57,37.0,38.0,39.0
60,37.8,38.8,39.8
63,38.5,39.5,40.5
66,39.3,40.3,41.3
69,40.0,41.0,42.0
72,40.8,41.8,42.8
75,41.5,42.5,43.5
78,42.2,43.2,44.2
81,43.0,44.0,45.0
84,43.8,44.8,45.8
87,44.5,45.5,46.5
90,45.3,46.3,47.3
93,44.3,45.3,46.3
96,45.3,46.3,47.3
99,46.0,47.0,48.0
102,46.8,47.8,48.8
105,47.5,48.5,49.5
108,48.3,49.3,50.3
111,49.0,50.0,51.0
114,49.8,50.8,51.8
117,50.6,51.6,52.6
120,51.3,52.3,53.3
123,52.0,53.0,54.0
126,52.8,53.8,54.8
129,53.5,54.5,55.5
132,54.3,55.3,56.3
135,55.0,56.0,57.0
138,55.8,56.8,57.8
141,56.5,57.5,58.5
144,57.3,58.3,59.3
147,58.0,59.0,60.0
150,58.8,59.8,60.8
153,59.5,60.5,61.5
156,60.3,61.3,62.3
159,61.0,62.0,63.0
162,61.8,62.8,63.8
165,62.5,63.5,64.5
168,63.3,64.3,65.3
171,62.3,63.3,64.3
174,63.3,64.3,65.3
177,64.0,65.0,66.0
180,64.8,65.8,66.8
183,65.0,66.0,67.0
186,64.0,65.0,66.0
189,65.0,66.5,68.0
192,64.0,65.5,67.0
195,65.0,66.5,68.0
198,65.0,66.0,67.0
