Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
0,0.46,0.69,25.0
3,0.45,0.65,25.1
6,0.46,0.78,25.3
9,0.45,0.5,25.5
12,0.56,0.73,25.7
15,0.49,0.7,25.8
18,0.48,0.73,25.9
21,0.48,0.78,26.0
24,0.56,0.63,26.2
27,0.47,0.49,26.3
30,0.58,0.93,26.5
33,0.61,0.45,26.6
36,0.5,0.87,26.8
39,0.47,0.54,27.0
42,0.5,0.63,27.1
45,0.61,0.66,27.2
48,0.56,0.7,27.3
51,0.61,0.95,27.5
54,0.71,1.0,27.6
57,0.59,0.81,27.8
60,0.51,0.66,27.9
63,0.67,0.62,28.0
66,0.6,0.62,28.1
69,0.67,0.78,28.3
72,0.69,0.93,28.4
75,0.53,0.68,28.5
78,0.73,1.06,28.7
81,0.7,0.94,28.8
84,0.58,0.73,29.0
87,0.66,1.17,29.2
90,0.66,0.89,29.2
93,0.65,0.75,29.4
96,0.72,1.18,29.5
99,0.77,1.15,29.6
102,0.67,1.11,29.8
105,0.78,0.96,30.0
108,0.76,1.1,30.2
111,0.71,0.67,30.3
114,0.71,1.0,30.4
117,0.61,0.74,30.6
120,0.59,0.53,30.8
123,0.73,1.06,30.9
126,0.65,0.54,31.0
129,0.72,0.61,31.1
132,0.69,0.92,31.3
135,0.6,0.83,31.4
138,0.77,1.11,31.6
141,0.72,1.01,31.7
144,0.77,1.18,31.9
147,0.69,0.97,32.0
150,0.74,0.91,32.1
153,0.91,1.12,32.3
156,0.8,0.96,32.5
159,0.84,1.1,32.7
162,0.71,0.72,32.9
165,1.01,1.31,33.1
168,0.97,1.2,33.3
171,0.94,1.21,33.4
174,0.9,1.17,33.5
177,0.84,0.68,33.6
180,0.88,0.96,33.7
183,0.93,1.15,33.9
186,0.8,1.0,34.0
189,0.83,1.07,34.2
192,0.74,0.96,34.3
195,0.81,1.24,34.4
198,1.01,1.31,34.6
201,0.86,1.03,34.7
204,0.87,0.85,34.9
207,0.92,0.95,35.0
210,0.78,1.05,35.2
213,0.99,1.4,35.4
216,1.02,1.51,35.5
219,0.96,1.07,35.6
222,1.07,1.29,35.8
225,0.84,1.08,35.9
228,1.1,1.68,36.1
231,0.9,1.14,36.3
234,0.86,1.31,36.4
237,0.95,1.21,36.5
240,1.32,1.83,36.6
243,1.09,1.57,36.2
246,1.27,1.75,36.7
249,1.18,1.3,37.3
252,1.29,1.72,37.1
255,1.16,1.56,36.9
258,1.14,1.72,37.1
261,1.28,1.88,37.9
264,1.41,1.82,38.2
267,1.31,1.42,38.2
270,1.33,1.84,38.2
273,1.26,1.76,37.7
276,1.37,2.1,38.3
279,1.27,1.91,38.3
282,1.31,1.64,37.9
285,1.31,1.45,37.9
288,1.3,1.98,37.8
291,1.31,2.1,38.3
294,1.48,1.68,38.9
297,1.24,1.42,39.7
300,1.4,2.15,39.9
303,1.2,1.73,40.0
306,1.44,1.9,40.0
309,1.31,1.68,39.1
312,1.25,1.95,39.3
315,1.3,1.88,39.6
318,1.29,1.43,39.7
321,1.21,1.57,39.4
324,1.52,1.95,40.2
327,1.34,1.82,40.4
330,1.34,1.84,39.9
333,1.3,1.8,40.0
336,1.49,1.88,40.0
339,1.35,2.18,40.3
342,1.47,2.05,40.3
345,1.57,1.78,40.5
348,1.56,1.78,40.7
351,1.44,1.64,40.5
354,1.42,1.79,41.0
357,1.4,1.84,41.7
360,1.48,1.84,42.4
363,1.47,1.66,42.3
366,1.42,1.66,42.8
369,1.5,1.88,43.6
372,1.58,2.17,44.0
375,1.78,2.45,44.4
378,1.43,2.22,44.0
381,1.49,1.99,44.4
384,1.58,2.17,44.5
387,1.58,2.0,44.5
390,1.59,2.19,44.9
393,1.47,1.84,45.6
396,1.79,2.21,46.7
399,1.57,2.54,46.2
402,1.78,2.24,46.8
405,1.58,2.25,47.3
408,1.67,1.97,47.9
411,1.9,2.44,48.0
414,1.71,2.17,48.5
417,1.57,2.02,48.6
420,1.46,1.98,48.3
423,1.62,1.88,48.8
426,1.41,1.78,48.5
429,1.59,2.22,49.0
432,1.61,1.65,49.7
435,1.5,1.75,49.5
438,1.56,1.81,49.7
441,1.41,1.74,50.1
444,1.73,2.15,50.2
447,1.62,1.86,51.5
