Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,28,12,15.2,25.0
3,35,18,18.5,25.8
6,42,22,21.8,26.9
9,55,28,27.4,28.4
12,68,35,32.1,30.2
15,79,41,36.8,32.5
18,85,44,39.5,35.1
21,82,39,38.2,37.4
24,71,32,33.5,39.2
27,58,25,28.1,40.5
30,47,19,23.8,41.3
33,39,15,20.4,41.8
36,45,21,22.9,42.1
39,52,26,25.7,42.6
42,61,31,29.4,43.4
45,72,37,33.8,44.7
48,81,42,37.9,46.2
51,76,38,35.6,47.5
54,65,30,31.2,48.4
57,53,23,26.1,48.9
60,44,18,22.5,49.1
63,48,22,24.3,49.2
66,55,27,27.1,49.5
69,63,32,30.4,50.1
72,71,36,33.7,51.0
75,79,40,37.2,52.2
78,84,43,39.4,53.5
81,80,39,37.6,54.6
84,69,31,32.8,55.3
87,57,24,27.6,55.6
90,48,19,23.9,55.7
93,41,16,20.8,55.5
96,37,14,18.9,55.1
99,45,20,22.7,54.8
102,53,25,26.1,54.7
105,62,30,29.8,54.9
108,71,35,33.5,55.4
111,80,40,37.4,56.2
114,86,44,40.3,57.3
117,83,41,38.9,58.4
120,72,33,33.9,59.1
123,61,26,29.2,59.4
126,51,21,25.1,59.4
129,44,17,22.2,59.1
132,39,14,19.8,58.6
135,46,19,23.1,58.2
138,55,25,26.8,58.1
141,65,31,31.0,58.3
144,74,37,34.9,58.8
147,82,42,38.5,59.6
150,79,38,37.1,60.4
153,68,31,32.4,60.8
156,57,24,27.7,60.9
159,49,20,24.2,60.7
162,43,17,21.6,60.3
165,51,23,25.3,60.1
168,60,28,29.1,60.1
171,69,34,32.8,60.4
174,77,39,36.2,61.0
177,84,43,39.5,61.8
180,81,40,38.0,62.5
183,71,33,33.4,62.9
186,60,26,28.7,63.0
189,51,21,24.9,62.8
192,44,17,22.0,62.4
195,39,14,19.6,61.8
198,47,20,23.4,61.4
201,56,26,27.2,61.2
204,66,32,31.3,61.3
207,75,37,35.2,61.7
210,83,42,39.0,62.4
213,80,39,37.5,63.0
216,70,32,33.1,63.3
219,59,25,28.4,63.3
222,50,20,24.7,63.1
225,43,16,21.7,62.7
228,40,15,20.3,62.2
231,48,21,23.9,61.9
234,57,27,27.7,61.8
237,67,33,31.7,62.0
240,76,38,35.7,62.5
243,84,43,39.4,63.2
246,81,40,38.0,63.8
249,72,34,33.9,64.1
252,62,27,29.5,64.2
255,53,22,25.8,64.0
258,46,18,22.9,63.6
261,41,15,20.7,63.1
264,49,21,24.4,62.8
267,58,27,28.2,62.7
270,68,33,32.3,62.9
273,77,38,36.2,63.4
276,85,43,39.9,64.1
279,82,40,38.5,64.6
282,73,34,34.4,64.8
285,63,28,30.1,64.8
288,54,23,26.3,64.6
291,47,19,23.4,64.2
294,42,16,21.2,63.7
297,50,22,24.9,63.4
300,59,27,28.7,63.4
303,69,33,32.8,63.7
306,78,39,36.7,64.2
309,85,43,39.9,64.8
312,81,39,38.0,65.0
315,72,33,34.0,65.0
318,62,27,29.7,65.0
321,53,22,26.0,64.8
324,46,18,23.1,64.5
327,41,15,20.8,64.1
330,48,20,24.1,63.8
333,57,26,27.9,63.7
336,67,32,31.9,63.9
339,76,37,35.7,64.3
342,84,42,39.5,64.8
345,80,38,37.6,65.0
348,71,32,33.5,65.0
351,61,26,29.3,65.0
354,52,21,25.6,64.8
357,45,17,22.7,64.5
360,40,14,20.4,64.1
363,47,19,23.7,63.9
366,56,25,27.4,63.9
369,66,31,31.5,64.1
372,75,36,35.3,64.5
375,83,41,39.0,65.0
378,79,37,37.2,65.0
381,70,31,33.1,65.0
384,60,26,28.9,65.0
387,51,21,25.2,64.8
390,44,17,22.3,64.5
393,40,14,20.4,64.1
396,46,19,23.4,63.9
399,55,25,27.2,63.9
402,65,31,31.3,64.1
405,74,36,35.1,64.5
408,82,41,38.7,65.0
411,78,37,36.9,65.0
414,69,31,32.8,65.0
417,59,25,28.6,65.0
420,50,20,24.9,64.8
423,44,17,22.2,64.5
426,40,14,20.4,64.1
429,47,19,23.5,63.9
432,56,25,27.4,63.9
435,66,31,31.5,64.1
438,75,36,35.3,64.5
441,83,41,39.0,65.0
444,79,37,37.2,65.0
447,70,31,33.1,65.0
